id	name	formula	rt	smiles.std	status
0329_00411	URIDINE DIPHOSPHATE-N-ACETYLGLUCOSAMINE	C17H27N3O17P2	0.581		'PUGREST.BadRequest: error: '
0329_00413	FAD	C27H33N9O15P2	2.571		'PUGREST.BadRequest: error: '
0329_00442	GLUTARATE	C5H8O4	1.024		'PUGREST.BadRequest: error: '
0329_00451	GALACTOSE 1-PHOSPHATE	C6H13O9P	0.556		'PUGREST.BadRequest: error: '
0329_00452	MANNOSE 6-PHOSPHATE	C6H13O9P	0.556		'PUGREST.BadRequest: error: '
0329_00453	FRUCTOSE 6-PHOSPHATE	C6H13O9P	0.556		'PUGREST.BadRequest: error: '
0329_00455	N-ACETYLMETHIONINE	C7H13NO3S	2.358		'PUGREST.BadRequest: error: '
0329_00464	PYRIDOXAMINE	C8H12N2O2	0.533		'PUGREST.BadRequest: error: '
0329_00465	N-ALPHA-ACETYLLYSINE	C8H16N2O3	0.581		'PUGREST.BadRequest: error: '
0329_00467	INDOXYL SULFATE	C8H7NO4S	2.474		'PUGREST.BadRequest: error: '
0329_00468	3-NITRO-L-TYROSINE	C9H10N2O5	1.467		'PUGREST.BadRequest: error: '
0329_00469	CYTIDINE 2',3'-CYCLIC PHOSPHATE	C9H12N3O7P	0.581		'PUGREST.BadRequest: error: '
0329_00470	DEOXYURIDINE-MONOPHOSPHATE	C9H13N2O8P	0.604		'PUGREST.BadRequest: error: '
0329_00472	CYTIDINE MONOPHOSPHATE	C9H14N3O8P	0.581		'PUGREST.BadRequest: error: '
0329_00477	AICAR	C9H15N4O8P	0.604		'PUGREST.BadRequest: error: '
0329_00568	INDOLE-3-ACETAMIDE	C10H10N2O	3.042		'PUGREST.BadRequest: error: '
0329_00569	FERULATE	C10H10O4	3.228		'PUGREST.BadRequest: error: '
0329_00570	INDOLE-3-ETHANOL	C10H11NO	3.068		'PUGREST.BadRequest: error: '
0329_00576	10-HYDROXYDECANOATE	C10H20O3	3.583		'PUGREST.BadRequest: error: '
