id	name	formula	rt	pubchem.cid	pubchem.smiles.isomeric	pubchem.smiles.canonical	pubchem.inchi	pubchem.inchikey	id.chebi	id.hmdb	id.lipidmaps	id.kegg	comment
0401_00344			2.753	193872	CCC(C)C(=O)NCC(=O)O	CCC(C)C(=O)NCC(=O)O							
0401_00345			2.772	6180	CC(=O)NC(CCSC)C(=O)O	CC(=O)NC(CCSC)C(=O)O							
0401_00346			2.772	2733785	C1=CC=C2C(=C1)C(=CN2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O								
0401_00347			2.777	903	CC(=O)NCCC1=CNC2=C1C=C(C=C2)O	CC(=O)NCCC1=CNC2=C1C=C(C=C2)O							
0401_00348			2.779	79437	CN1C2=C(NC1=O)N(C(=O)N(C2=O)C)C	CN1C2=C(NC1=O)N(C(=O)N(C2=O)C)C							
0401_00349			2.794	135398658	C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N								
0401_00350			2.795	10010	C(CSSCCC(C(=O)O)N)C(C(=O)O)N								
0401_00351			2.795	439579	C(CSSCC[C@@H](C(=O)O)N)[C@@H](C(=O)O)N								
0401_00352			2.804	1551553	C/C(=C\C(=O)O)/CC(=O)O								
0401_00353			2.815	66644	C1=CC=C(C(=C1)C(=O)NO)O	C1=CC=C(C(=C1)C(=O)NO)O							
0401_00354			2.839	3162	CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C	CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C							
0401_00355			2.842	546304	CC(C)CC(=O)NCC(=O)O	CC(C)CC(=O)NCC(=O)O							
0401_00356			2.854	1794427	C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O								
0401_00357			2.885	135	C1=CC(=CC=C1C(=O)O)O	C1=CC(=CC=C1C(=O)O)O							
0401_00358			2.897	6082	CC(C(C1=C(C=CC(=C1)OC)OC)O)N	CC(C(C1=C(C=CC(=C1)OC)OC)O)N							
0401_00359			2.943	5699	C1=CC2=C(C(=C1)O)NC(=CC2=O)C(=O)O	C1=CC2=C(C(=C1)O)NC(=CC2=O)C(=O)O							
0401_00360			2.946	689043	C1=CC(=C(C=C1/C=C/C(=O)O)O)O								
0401_00361			2.957	6101	CC1=CC=C(C=C1)S(=O)(=O)O								
0401_00362			2.971555556	101624378	[2H]C1=C(C(=C(C(=C1[2H])[2H])C(=O)NCC(=O)O)[2H])[2H]	[2H]C1=C(C(=C(C(=C1[2H])[2H])C(=O)NCC(=O)O)[2H])[2H]							
0401_00363			2.972	7151	COC(=O)C1=CN=CC=C1								
0401_00364			2.984	5362119	C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O								
0401_00365			2.988	7124	C1=CC=C2C(=C1)C=CC(=N2)C(=O)O	C1=CC=C2C(=C1)C=CC(=N2)C(=O)O							
0401_00366			2.989	127	C1=CC(=CC=C1CC(=O)O)O	C1=CC(=CC=C1CC(=O)O)O							
0401_00367			2.994	464	C1=CC=C(C=C1)C(=O)NCC(=O)O	C1=CC=C(C=C1)C(=O)NCC(=O)O							
0401_00368			2.995	174174	CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3								
0401_00369			3.014	8406	C1=CC=C(C(=C1)C=O)C(=O)O	C1=CC=C(C(=C1)C=O)C(=O)O							
0401_00370			3.03	5312	CC(=O)CC(=O)CCC(=O)O	CC(=O)CC(=O)CCC(=O)O							
0401_00371			3.038	10268	C1=COC=C1C(=O)O								
0401_00372			3.047	3845	C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O								
0401_00373			3.064	92258	C1=CC=C(C=C1)CC(=O)N[C@@H](CCC(=O)N)C(=O)O								
0401_00374			3.079	72276	C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O								
0401_00375			3.08	1549111	C1=CC(=C(C=C1/C=C\C(=O)O)O)O								
0401_00376			3.095	5593	CCN(CC1=CC=NC=C1)C(=O)C(CO)C2=CC=CC=C2								
0401_00377			3.103	675	CC1=CC2=C(C=C1C)N=CN2	CC1=CC2=C(C=C1C)N=CN2							
0401_00378			3.141	12756	CCC1CCC(=O)O1	CCC1CCC(=O)O1							
0401_00379			3.144	7680	C1=CC=C(C=C1)CC(=O)N	C1=CC=C(C=C1)CC(=O)N							
0401_00380			3.155	8468	COC1=C(C=CC(=C1)C(=O)O)O	COC1=C(C=CC(=C1)C(=O)O)O							
0401_00381			3.159	85782	C1=CC(=C(C=C1C(C(=O)O)O)O)O	C1=CC(=C(C=C1C(C(=O)O)O)O)O							
0401_00382			3.163	6453952	C(CCCC(=O)O)CCC(=O)NCC(=O)O	C(CCCC(=O)O)CCC(=O)NCC(=O)O							
0401_00383			3.171	126	C1=CC(=CC=C1C=O)O	C1=CC(=CC=C1C=O)O							
0401_00384			3.175	5280523	CC(C)[C@@](CC(=O)O)(C(=O)O)O								
0401_00385			3.183	3291	CCC1(CC(=O)NC1=O)C	CCC1(CC(=O)NC1=O)C							
0401_00386			3.188	1017	C1=CC=C(C(=C1)C(=O)O)C(=O)O	C1=CC=C(C(=C1)C(=O)O)C(=O)O							
