id	bits.on
0027_00263	20,45,90,94,107,141,146,153,197,207,217,231,236,255,460,481,507,508,626,684,727,743,774,776,789,948
0027_00265	15,20,32,69,89,94,199,411,437,438,508,587,626,662,676,677,727,776,818,936,964
0027_00273	20,94,107,141,207,228,365,390,481,500,508,626,715,727,802,948,952
0027_00274	20,56,93,94,107,153,207,231,259,261,341,481,508,516,626,636,642,647,655,659,698,704,727,734,739,756,762,778,797,833,862,896,915,939,948,960,984
0027_00276	20,56,77,94,107,153,207,225,231,424,436,458,481,508,516,621,626,647,655,727,734,739,762,764,778,797,862,896,913,948,960,984
0027_00277	20,21,22,56,88,94,107,117,134,153,195,207,270,272,298,360,366,387,388,395,405,414,468,479,508,516,530,554,611,626,633,655,662,727,739,757,762,787,806,829,850,866,948,950,960,968,989
0027_00281	20,26,56,77,94,107,153,207,231,436,481,508,516,626,647,655,727,734,739,762,778,797,862,877,896,913,923,948,960,984
0027_00282	20,94,107,141,153,207,326,455,481,508,576,626,727,776,789,963
0027_00284	85,89,134,139,153,159,197,212,245,274,311,326,351,387,390,401,405,442,452,460,461,465,481,508,523,524,560,596,615,626,631,657,681,710,716,719,743,765,807,833,887,928,936,952,968,974
0027_00288	5,20,94,107,134,141,153,180,202,207,217,231,259,341,375,376,463,480,481,508,511,516,522,545,602,626,642,659,668,673,698,727,739,771,776,778,789,825,913,915,916,989
0027_00302	4,20,94,95,134,141,148,177,188,201,226,268,304,347,353,362,469,508,510,515,549,550,551,626,640,666,705,712,727,735,778,825,850,858,931,948,968,990,999
