name_normalized	usp code	phase type	particle size [µm]	pore size [A]	H	S*	A	B	C (pH 2.8)	C (pH 7.0)	EB retention factor	hplccolumns_number	Manufacturer
Macherey-Nagel NUCLEOSIL C8 HD	L7	C8			0.86	0.0	-0.17	0.02	0.04	0.18	6.3	143	
Macherey-Nagel NUCLEOSIL C18 HD	L1	C18	5.0	100.0	0.96	-0.02	-0.12	0.0	0.08	0.15	8.8	144	
Macherey-Nagel NUCLEOSIL C18 Nautilus	L1	EP	5.0	100.0	0.7	0.0	-0.48	0.26	-0.44	0.48	5.4	145	
Macherey-Nagel NUCLEOSIL C8	L7	C8			0.57	-0.13	0.03	0.01	0.28	1.12	2.7	146	
Macherey-Nagel NUCLEOSIL C18	L1	C18			0.9	-0.05	0.01	-0.03	0.32	0.73	7.3	147	
Macherey-Nagel NUCLEOSIL C18	L1	C18	5.0	300.0	0.86	-0.08	0.0	0.01	0.45	0.98	2.7	148	
Macherey-Nagel NUCLEODUR C8 Gravity	L7	C18	5.0		0.86	0.03	-0.24	0.0	-0.15	0.63	6.6	149	
Macherey-Nagel NUCLEODUR C18 Gravity 	L1	C18			1.05	0.04	-0.09	-0.02	-0.08	0.31	11.0	150	
Macherey-Nagel Nucleosil Protect 1		EP			0.54	0.04	-0.41	0.3	-3.21	-0.57	2.7	151	
Advanced Chromatography Technologies ACE C8	L7	C8		300.0	0.78	0.0	-0.11	0.03	0.14	0.38	1.8	152	
Advanced Chromatography Technologies ACE C4	L26	C4		100.0	0.67	-0.01	-0.17	0.02	0.09	0.31	2.5	153	
Advanced Chromatography Technologies ACE C4	L26	C4		300.0	0.71	-0.01	-0.18	0.03	0.16	0.35	1.3	154	
Advanced Chromatography Technologies ACE C18	L1	C18		100.0	1.0	0.02	-0.09	0.0	0.14	0.09	7.9	155	
Advanced Chromatography Technologies ACE C18	L1	C18		300.0	0.98	0.02	0.04	0.01	0.26	0.23	3.0	156	
Advanced Chromatography Technologies ACE C8	L7	C8		100.0	0.827	0.005	-0.18	0.026	0.11	0.16	4.9	157	
Advanced Chromatography Technologies ACE CN	L10	CN		100.0	0.4	-0.1	-0.72	0.0	-0.08	0.44	1.0	158	
Advanced Chromatography Technologies ACE CN	L10	CN		300.0	0.46	-0.07	-0.16	0.03	0.15	0.85	0.4	159	
Advanced Chromatography Technologies ACE AQ	L1	EP		100.0	0.8	-0.05	-0.12	0.03	0.0	0.16	4.7	160	
Advanced Chromatography Technologies ACE Phenyl	L11	Phenyl		100.0	0.64	-0.13	-0.29	0.02	0.13	0.46	2.8	161	
Advanced Chromatography Technologies ACE Phenyl	L11	Phenyl		300.0	0.59	-0.1	-0.23	0.03	0.16	0.54	1.1	162	
		CN			0.43	-0.11	-0.48	0.01	-0.04	0.6	1.3	163	Mac-Mod Analytical
		C18			1.0	0.0	-0.04	-0.01	0.07	0.34	9.5	164	Mac-Mod Analytical
		C8			0.82	-0.01	-0.18	0.02	0.09	0.24	4.9	165	Mac-Mod Analytical
		EP			0.97	-0.01	-0.08	0.0	0.0	0.16	8.6	166	Mac-Mod Analytical
		EP			0.81	-0.02	-0.15	0.01	0.05	0.27	5.0	167	Mac-Mod Analytical
		Phenyl			0.59	-0.13	-0.29	0.02	0.09	0.5	2.6	168	Mac-Mod Analytical
Merck Supelco LiChrosorb RP-18	L1	C18			0.9	-0.07	0.15	-0.08	0.71	0.97	7.1	169	
Merck LiChrospher RP-18	L1	C18			1.0	-0.02	0.18	-0.03	0.64	0.89	9.5	170	
Merck Chromolith Performance RP-18e	L1	C18			1.0	0.02	0.0	-0.01	0.1	0.18	3.1	171	
Merck Supelco LiChrospher RP-select B	L7	C8			0.74	-0.06	-0.04	0.0	0.1	0.86	5.1	172	
Merck Supelco Purospher RP-18	L1	C18			0.84	0.23	0.15	0.3	-0.96	0.9	4.9	173	
Merck Supelco Purospher STAR RP18e	L1	C18			1.0	0.01	-0.07	-0.03	0.01	0.04	10.6	174	
Merck Supelco Superspher RP-18e	L1	C18		100.0	1.03	0.02	-0.02	-0.01	0.35	0.26	9.3	175	
Nacalai Tesque COSMOSIL C18 AR-II	L1	C18			1.01	0.01	0.12	-0.02	0.11	0.49	8.1	176	
Nacalai Tesque COSMOSIL C18 MS-II	L1	C18			1.03	0.04	-0.13	-0.01	-0.11	-0.02	8.1	177	
Nacalai Tesque COSMOSIL C18 PAQ	L1	EP			0.82	-0.02	-0.34	0.05	-0.35	0.04	5.5	178	
Nomura Chemical Develosil C30-UG	L62	C30			0.97	-0.03	-0.19	0.01	0.15	0.17	7.8	179	
Nomura Chemical Develosil ODS-HG	L1	C18			0.98	0.01	-0.17	0.0	0.18	0.22	8.2	180	
Nomura Chemical Develosil ODS-MG	L1	C18			0.96	-0.03	-0.16	0.0	-0.01	0.05	11.2	181	
Nomura Chemical Develosil ODS-UG	L1	C18			0.99	0.02	-0.14	0.0	0.15	0.15	8.4	182	
Phenomenex Bondclone C18	L1	C18			0.82	-0.05	-0.12	0.04	0.07	0.34	4.5	183	
Phenomenex Partisil C8	L7	C8			0.74	-0.07	-0.09	0.07	0.03	0.54	4.5	184	
Phenomenex Partisil ODS3	L1	C18			0.81	-0.07	0.0	0.0	0.31	0.9	5.4	185	
Phenomenex SphereClone ODS(2)	L1	C18			0.97	-0.04	0.27	-0.05	0.86	1.32	7.6	186	
Phenomenex Jupiter C18	L1	C18		300.0	0.94	0.03	-0.22	0.0	0.23	0.21	2.9	187	
Phenomenex Jupiter C8	L7	C4		300.0	0.69	0.0	-0.42	0.01	0.15	0.14	1.3	188	
Phenomenex Jupiter C5		C5		300.0	0.72	0.02	-0.38	0.01	0.12	0.33	1.5	189	
Phenomenex Luna C18	L1	C18			1.01	0.02	0.07	0.0	-0.36	-0.03	10.9	190	
Phenomenex Luna C18(2)	L1	C18			1.0	0.02	-0.12	0.0	-0.26	-0.17	9.6	191	
Phenomenex Luna C5		C5			0.8	0.03	-0.25	0.0	-0.27	0.11	5.9	192	
Phenomenex Luna C8	L7	C8			0.87	0.03	-0.01	0.02	-0.4	0.13	7.0	193	
Phenomenex Luns C8(2)	L7	C8			0.88	0.04	-0.22	0.0	-0.3	-0.17	7.2	194	
Phenomenex Prodigy ODS(2)	L1	C18			0.99	0.03	-0.11	0.0	-0.09	0.23	7.7	195	
Phenomenex Prodigy ODS(3)	L1	C18			1.02	0.02	-0.13	-0.01	-0.19	-0.13	10.1	196	
		C18			0.91	-0.05	0.03	0.0	0.29	0.74	7.0	197	Phenomenex
Phenomenex Synergi Max-RP		C12			0.98	0.02	0.0	-0.01	-0.13	-0.03	9.5	198	
Phenomenex Ultracarb ODS (30)	L1	C18			1.11	0.01	0.37	-0.05	-0.31	0.73	18.2	199	
Phenomenex AQUA C18	L1	C18			0.96	-0.03	0.03	0.0	0.06	0.27	8.8	200	
Phenomenex Luna CN	L10	CN			0.45	-0.11	-0.32	-0.02	0.43	1.32	1.3	201	
Agilent Polaris C18-Ether	L1	EP			0.94	-0.01	-0.12	0.02	0.16	0.55	5.5	202	
Agilent Polaris C8-Ether	L7	EP			0.7	-0.02	-0.31	0.04	0.09	0.26	1.8	203	
Phenomenex Synergi Hydro-RP	L1	EP			1.02	0.0	0.16	-0.04	-0.07	0.26	11.3	204	
Phenomenex Synergi Polar-RP	L11	EP			0.65	-0.14	-0.25	0.0	0.05	0.77	3.9	205	
Phenomenex Luna Phenyl-Hexyl	L11	Phenyl			0.78	-0.11	-0.27	0.0	0.0	0.38	5.2	206	
Phenomenex Prodigy PH-3	L11	Phenyl			0.52	-0.19	0.05	0.02	0.23	1.46	2.3	207	
Phenomenex Curosil PFP	L43	F			0.69	-0.07	-0.26	0.0	0.11	0.37	4.0	208	
Phenomenex Onyx Monolithic C8	L7	C8			0.82	0.0	0.0	0.0	-0.02	0.44	2.0	209	
Phenomenex Onyyx Monolithic C18	L1	C18			1.01	0.02	0.22	-0.01	0.12	0.43	3.2	210	
Phenomenex Gemini C18	L1	C18		110.0	0.96	0.0	0.02	0.01	-0.09	0.19	8.0	211	
