name_normalized	usp code	phase type	particle size [µm]	pore size [A]	H	S*	A	B	C (pH 2.8)	C (pH 7.0)	EB retention factor	hplccolumns_number	Manufacturer
Dikma Technologies Bio-Bond C18	L1	C18			0.96	-0.02	-0.15	0.0	0.22	0.18	3.1	493	
Dikma Technologies Bio-Bond C4	L26	C4			0.7	0.0	-0.31	0.02	0.14	0.18	1.4	494	
Dikma Technologies Bio-Bond C8	L7	C8			0.82	0.0	-0.26	0.02	0.17	0.15	2.0	495	
Dikma Technologies Inspire C18	L1	C18			1.06	-0.05	-0.07	-0.04	-0.08	-0.1	11.2	496	
Dikma Technologies Inspire C8	L7	C8			0.88	-0.02	-0.21	0.0	-0.19	-0.01	8.1	497	
Dikma Technologies Spursil C18	siehe Bild	C18			0.96	0.0	-0.18	-0.04	0.42	0.76	9.1	498	
Dikma Technologies Spursil C18-EP	siehe Bild	EP			0.83	0.1	-0.5	0.22	-1.12	0.89	8.9	499	
Fortis Technologies Fortis C18	L1	C18			0.96	-0.02	-0.18	0.0	-0.16	0.11	11.0	500	
Fortis Technologies Fortis C8	L7	C8			0.87	0.02	-0.22	0.0	-0.14	-0.04	8.2	501	
Fortis Technologies Fortis Cyano	L10	CN			0.38	-0.05	-0.39	0.01	0.01	0.87	1.1	502	
Fortis Technologies Fortis H2o	L1	EP			1.03	0.03	0.14	-0.02	0.0	0.1	10.5	503	
Fortis Technologies Fortis Diphenyl	L11	phenyl			0.61	-0.15	-0.4	0.03	0.08	0.77	4.0	504	
Fortis Technologies UniverSil C18	L1	C18			0.92	-0.02	-0.12	0.04	0.23	0.25	5.4	505	
Fortis Technologies UniverSil HS C18	L1	C18			0.99	-0.01	-0.11	-0.01	-0.06	0.08	10.6	506	
GL Science Insertsil C8-4	L7	C8			0.67	-0.03	-0.38	-0.01	-0.09	-0.15	4.5	507	
Grace-Alltech ProSphere C18	L1	C18		300.0	0.9	-0.01	0.17	0.01	0.57	1.26	2.2	508	
Grace-Vydac Vydac 218MS C18	L1	C18			0.88	-0.01	0.29	0.0	0.17	0.82	1.6	509	
		C18			0.97	0.04	0.03	0.0	0.13	0.27	2.2	510	Grace/Vydac
Imtakt Cadenza CD-C18	L1	C18			1.05	0.03	0.08	-0.02	0.11	0.04	9.9	511	
Restek Ultra II Biphenyl	L11	Phenyl			0.65	-0.19	-0.27	0.04	0.43	0.76	3.9	513	
Sepax Technologies Sepax HP-C18(2)	L1	C18			0.95	-0.02	-0.18	0.0	-0.13	0.05	11.3	514	
Merck Supelco apHera C18	L67	C18			0.83	-0.01	-1.1	0.0	-0.55	7.51	6.3	515	
Merck Supelco Ascentis ES-Cyano	L10	CN			0.54	-0.1	-0.49	0.01	0.13	-0.44	2.9	516	
Merck Supelco Ascentis Express Peptide ES-C18	L1	C18			0.91	-0.04	0.26	0.01	0.19	0.81	3.6	517	
Merck Supelco Ascentis Express Phenyl-Hexyl	L11	Phenyl			0.79	-0.08	-0.26	-0.01	0.09	0.48	3.5	518	
Waters ACQUITY UPLC HSS C18		C18			1.02	0.03	-0.13	-0.02	0.05	0.0	8.6	519	Waters
Waters ACQUITY UPLC HSS C18 SB		C18			0.73	-0.12	0.4	0.02	0.4	1.41	4.0	520	Waters
Waters ACQUITY UPLC HSS T3		C18			0.94	-0.02	-0.17	0.0	0.03	0.18	7.9	521	Waters
YMC YMC-Triart C18	L1	C18			0.92	-0.02	-0.19	-0.03	-0.02	-0.13	9.4	522	
Dikma Technologies Endeavorsil C18	L1	C18			1.02	0.04	-0.09	-0.02	-0.07	0.0	4.05	523	
Dikma Technologies Leapsil C18	L1	C18			1.05	0.04	-0.07	-0.03	-0.02	-0.05	10.51	524	
Hitachi High-Tech LaChrom C18	L1	C18			0.99	0.01	-0.15	0.0	-0.27	-0.12	8.2	525	
Hitachi High-Tech LaChrom C18-AQ	L1	C18			0.9	-0.02	-0.13	0.01	-0.32	0.19	6.8	526	
Hitachi High-Tech LaChrom C18-NE	L1	C18			0.96	-0.02	0.36	0.0	0.13	0.77	7.6	527	
Hitachi High-Tech LaChrom C8	L7	C8			0.85	0.02	-0.19	0.01	-0.41	-0.02	5.4	528	
Hitachi High-Tech LaChrom CN	L10	CN			0.42	-0.06	-0.37	0.0	-0.02	0.79	1.13	529	
Hitachi High-Tech LaChrom Ph	L11	Phenyl			0.59	-0.1	-0.32	0.02	0.0	0.45	2.51	530	
Phenomenex Kinetex C8	L7	C8		100.0	0.86	0.01	-0.2	0.0	-0.08	0.0	3.5	531	
Phenomenex Kinetex XB-C18	L1	C18			0.97	-0.01	-0.08	0.02	-0.04	0.3	4.9	532	
Advanced Materials Technology HALO Peptide ES-C18	L1	C18			0.89	-0.059	0.25	0.024	0.177	0.819	3.0	533	
Hitachi High-Tech LaChrom C18-PM	L1	C18			1.13	0.069	-0.019	-0.068	-0.267	-0.144	12.4	534	
Advanced Chromatography Technologies ACE C18-PFP	L1	C18		100.0	0.899	-0.021	-0.246	-0.08	-0.001	-0.995	5.9	535	
Advanced Materials Technology HALO PFP	L43	F			0.702	-0.117	-0.073	-0.062	1.17	0.972	2.3	536	
Restek Ultra PFP Propyl	L43	F			0.622	-0.102	-0.314	-0.035	0.456	1.05	4.5	537	
Restek Ultra Aromax	L11	Phenyl			0.741	-0.179	-0.375	0.021	0.195	0.375	5.6	538	
Shimadzu Shim-pack XR-C8	L7	C8			0.862	0.01	-0.16	0.017	-0.044	0.217	3.689	539	
Shimadzu Shim-pack XR-ODS	L1	C18			1.01	0.032	-0.106	-0.018	-0.061	0.17	5.741	540	
Shimadzu Shim-pack XR-Phenyl	L11	Phenyl			0.705	-0.08	-0.264	0.01	-0.021	0.486	2.656	541	
Waters CSH C18	L1	C18			0.954	-0.002	-0.179	0.118	0.082	0.171	5.62	542	
Waters XSelect CSH Fluoro-Phenyl	L43	F			0.498	-0.138	-0.052	0.055	-0.321	0.793	1.413	543	
Waters XSelect CSH Phenyl-Hexyl	L11	Phenyl			0.708	-0.059	-0.435	0.129	-0.068	0.223	2.865	544	
GL Science InertSustain C18	L1	C18			1.01	0.055	-0.152	-0.087	-0.081	-0.195	11.399	545	
Bonna-Agela Technologies Venusil ASB C18	L1	C18			0.824	-0.066	0.166	0.05	0.047	0.644	3.883	546	
Bonna-Agela Technologies Venusil ASB C8	L7	C8			0.677	-0.078	-0.001	0.044	0.119	0.569	2.424	547	
Bonna-Agela Technologies Durashell C18	L1	C18			1.04	0.041	-0.066	-0.038	-0.191	-0.174	10.556	548	
Bonna-Agela Technologies Innoval C18	L1	C18			1.05	0.049	-0.024	-0.034	-0.066	0.027	6.731	549	
Bonna-Agela Technologies Unisol C18		C18			0.95	-0.017	-0.108	-0.009	-0.108	0.092	10.176	550	
Bonna-Agela Technologies Venusil XBP C18(2)	L1	C18			1.01	0.007	-0.081	-0.022	-0.116	0.072	11.451	551	
Bonna-Agela Technologies Venusil XBP C18(L)	L1	C18			0.945	0.025	-0.135	-0.002	0.152	0.318	5.123	552	
Showa Denko Shodex C18-4D	L1	C18			1.01	0.027	0.021	-0.01	-0.11	0.107	8.207	553	
Bonna-Agela Technologies Venusil HLP	L60	EP			0.547	-0.015	-0.649	0.254	-0.926	1.64	3.801	554	
Bonna-Agela Technologies Venusil XBP CN	L10	CN			0.45	-0.053	-0.631	-0.013	-0.018	0.737	1.94	555	
Zodiac Life Sciences Zodiac C18(1)	L1	C18			0.973	0.008	-0.124	0.019	0.204	0.156	5.091	556	
Zodiac Life Sciences Zodiac C18	L1	C18			1.07	0.052	-0.069	-0.039	-0.184	-0.152	11.626	557	
Phenomenex Kinetex Pheyl-Hexyl	L11	Phenyl			0.795	-0.091	-0.258	0.016	0.062	0.236	3.49	558	
Welch Materials Ultimate XB-C18	L1	C18			1.01	0.011	-0.046	0.001	0.118	0.133	9.39	559	
Welch Materials Ultimate XB-C8	L7	C8			0.835	0.001	-0.074	0.028	0.069	0.281	5.55	560	
Welch Materials Ultimate XB-Phenyl	L11	Phenyl			0.651	-0.108	-0.25	0.032	0.15	0.476	3.45	561	
Waters XSelect HSS CN	L10	CN			0.479	-0.116	-0.224	0.043	0.082	1.18	1.76	562	
Welch Materials UltisilXB-Phenyl	L11	Phenyl			0.651	-0.108	-0.273	0.032	0.144	0.466	3.53	563	
Welch Materials Ultisil XB-C8	L7	C8			0.841	0.001	-0.108	0.027	0.063	0.244	5.87	564	
Welch Materials Ultisil XB-C18	L1	C18			1.01	0.012	-0.016	0.005	0.118	0.142	9.44	565	
Welch Materials Ultisil AQ-C18	L1	C18			0.872	-0.037	-0.072	0.031	0.054	0.323	6.61	566	
Welch Material Xtimate C8	L7	C8			0.855	-0.014	-0.185	0.008	0.013	0.173	6.26	567	
Welch Materials Xtimate C18	L1	C18			1.0	-0.001	-0.083	-0.011	0.155	0.283	8.99	568	
Welch Materials Ultimate AQ-C18	L1	C18			0.868	-0.033	-0.055	0.029	0.058	0.363	6.51	569	
Welch Materials Topsil C18	L1	C18			0.972	-0.011	-0.019	0.009	0.124	0.312	7.37	570	
Merck Chromolith Performance RP-8e	L7	C8			0.833	-0.014	-0.01	0.014	0.071	0.572	2.41	571	
Merck Chromolith HighResolution RP-C18e	L1	C18			0.999	0.019	0.017	-0.001	0.206	0.285	3.41	572	
Genius Technologies COSMICSIL Aura C18	L1	C18			0.948	-0.04	-0.185	0.009	-0.047	0.089	11.7	573	
Genius Technologies COSMICSIL AQ C18	L1	C18			0.958	-0.039	-0.072	0.013	0.133	0.295	9.19	574	
		C18			1.08	0.038	0.042	-0.024	-0.086	0.084	13.5	575	Genius Technologies
Genius Technologies COSMICSIL Agate 100 C18	L1	C18		100.0	1.02	-0.026	-0.07	0.009	0.048	0.263	13.0	576	
		CN			0.339	-0.067	-0.488	0.008	0.099	0.901	0.561	577	Genius Technologies
Waters Symmetry C4	L26	C4			0.687	-0.012	-0.29	0.022	0.217	0.305	1.41	578	
Shimadzu Shim-pack XR-ODS II	L1	C18			1.09	0.039	0.076	-0.026	-0.006	0.204	12.85	579	
Waters XSelect HSS PFP	L43	F			0.592	-0.164	0.146	-0.02	0.74	1.77	3.35	580	
Macherey-Nagel NUCLEODUR C18 PAH	L118	C18			1.01	0.008	0.574	-0.022	0.343	1.22	8.74	581	
Macherey-Nagel NUCLEODUR PolarTec	L1	C18			0.858	0.168	-0.259	0.351	-3.4	-0.787	7.67	582	
Orochem Monitor C18	L1	C18			0.981	-0.004	-0.131	0.001	0.021	0.063	9.13	583	
Orochem Matrix C18	L1	C18			0.934	-0.046	0.068	-0.003	0.071	0.765	11.42	584	
Orochem Orosil Polar C18	L1	C18			0.981	-0.032	-0.137	0.002	-0.048	0.155	12.61	585	
Orochem Orosil C18	L1	C18			1.04	-0.086	0.645	-0.035	1.07	1.56	10.17	586	
Orochem Reliasil C18	L1	C18			0.879	-0.004	0.326	0.048	0.592	0.822	8.97	587	
GL Science InerSustain C8	L7	C8			0.868	-0.005	-0.27	-0.021	-0.035	-0.122	8.59	588	
GL Science InertSustain Phenyl	L11	Phenyl			0.569	-0.135	-0.375	0.035	-0.044	0.32	3.37	589	
Macherey-Nagel NUCLEOSHELL RP 18	L1	C18			1.11	0.036	0.077	-0.04	0.082	0.266	7.5	590	
Macherey-Nagel NUCLEODUR C18 Htec	L1	C18			1.05	0.038	-0.022	-0.015	-0.482	0.136	11.7	591	
Macherey-Nagel NUCLEODUR PFP	L43	F			0.712	-0.059	-0.265	-0.036	0.023	0.81	4.8	592	
		C18			0.918	-0.037	-0.17	0.025	0.109	0.734	7.97	593	Bonna-Agela Technologies, Inc.
		Phenyl			0.678	-0.17	0.128	0.034	0.156	1.2	5.487	594	Bonna-Agela Technologies, Inc.
Bonna-Agela Technologies Venusil PFP	L43	F			0.519	-0.158	0.12	0.011	0.35	1.14	2.763	595	
		Phenyl			0.552	-0.214	0.016	0.052	-0.034	1.07	3.19	596	Bonna-Agela Technologies, Inc.
Bonna-Agela Technologies Promosil C18	L1	C18			1.06	0.036	-0.068	-0.012	-0.002	-0.09	11.533	597	
Bonna-Agela Technologies Venusil XBP Phenyl	L11	Phenyl			0.626	-0.118	-0.234	0.02	0.024	0.776	4.151	598	
Advanced Materials Technology HALO C18	L1	C18	5.0		1.15	0.055	0.025	-0.055	0.073	0.1	7.031	599	
Advanced Materials Technology HALO ES-CN	L10	CN			0.566	-0.11	-0.344	0.021	0.126	1.15	1.88	600	
Advanced Materials Technology HALO PFP	L43	F	5.0		0.711	-0.122	-0.07	-0.052	1.16	1.85	2.725	601	
CWN Technologies Athena  C8	L7	C8			0.831	-0.021	-0.166	0.009	0.026	0.274	6.43	602	
CWN Technologies Athena C18	L1	C18			0.997	0.002	-0.03	-0.013	0.094	0.265	9.82	603	
CWN Technologies Athena C18-WP	L1	C18			0.953	-0.03	-0.203	-0.003	-0.052	0.066	11.1	604	
CWN Technologies Athena Phenyl	L11	Phenyl			0.587	-0.114	-0.396	0.033	0.067	0.345	2.52	605	
Genius Technologies COSMICSIL Adze C18	L1	C18			0.997	-0.019	-0.138	-0.013	-0.082	0.069	12.7	606	
		C18			0.854	-0.035	0.195	-0.012	0.476	0.929	3.79	607	Genius Technologies
Thermo Scientific Synchronis C18	L1	C18			1.04	-0.003	-0.086	-0.019	-0.026	0.038	13.0	608	
Thermo Scientific Synchronis C8	L7	C8			0.84	-0.024	-0.227	0.01	-0.058	0.116	7.99	609	
Thermo Scientific Synchronis aQ	L1	EP			0.984	-0.004	-0.1	-0.038	0.066	1.08	10.2	610	
Thermo Scientific Syncronis Phenyl	L11	Phenyl			0.75	-0.082	-0.32	0.008	-0.031	0.176	6.36	611	
Thermo Scientific Hypersil GOLD C4	L26	C4			0.705	-0.003	-0.285	0.026	0.11	0.235	2.19	612	
Thermo Scientific Hypersil GOLD Phenyl	L11	Phenyl			0.65	-0.091	-0.362	0.03	0.161	0.416	2.0	613	
Thermo Scientific Hypersil GOLD L10	L10	CN			0.397	-0.035	-0.886	-0.019	-0.069	0.66	0.75	614	
Thermo Scientific Accucore XL C18	L1	C18			1.09	0.059	0.051	-0.038	0.086	0.384	5.22	615	
Thermo Scientific Accucore XL C8	L7	C8			0.926	0.02	-0.161	-0.001	0.02	-0.432	4.63	616	
Thermo Scientific Accucore C18	L1	C18			1.09	0.054	0.055	-0.04	0.072	0.095	6.5	617	
Thermo Scientific Accucore C8	L7	C8			0.924	0.015	-0.084	-0.003	0.002	0.186	5.2	618	
Thermo Scientific Accucore C30	L62	C30			0.978	-0.02	-0.143	-0.002	0.321	0.462	4.52	619	
Thermo Scientific Accucore C18	L1	C18		150.0	1.03	0.046	-0.037	-0.009	0.2	0.171	4.45	620	
Thermo Scientific Accucore C4	L26	C4		150.0	0.738	-0.008	-0.309	0.023	0.13	0.224	2.17	621	
Thermo Scientific Accucore aQ	L1	EP			1.07	0.05	0.002	-0.059	0.06	0.508	5.46	622	
Thermo Scientific Accucore Phenyl-X	L11	Phenyl			0.781	-0.103	-0.554	0.044	-0.294	-0.082	3.64	623	
Thermo Scientific Accucore Phenyl-Hexyl	L11	Phenyl			0.786	-0.047	-0.223	0.006	0.055	0.574	3.6	624	
Thermo Scientific Accucore PFP	L43	F			0.729	-0.098	-0.249	-0.036	0.873	1.66	3.22	625	
Thermo Accucore RP-MS					1.0	0.024	-0.015	-0.006	0.027	0.057	6.2	626	
Thermo Scientific Accucore Polar Premium	L60	EP			0.871	0.103	-0.567	0.217	-0.207	0.787	5.6	627	
Thermo Scientific Acclaim C30	L62	C30			0.973	-0.022	-0.126	0.004	0.353	0.32	5.52	628	
Thermo Scientific Acclaim Phenyl-1	L11	Phenyl			0.689	-0.15	-0.548	0.068	0.013	0.15	4.27	629	
Merck Supelco Ascentis Express F5	L43	F			0.721	-0.124	0.067	-0.074	1.06	1.84	3.25	630	
Merck Supelco Ascentis Express F5	L43	F	5.0		0.711	-0.118	-0.097	-0.067	1.06	1.71	2.85	631	
Merck Supelco Ascentis Express C18	L1	C18	5.0		1.13	0.053	0.053	-0.05	0.084	0.197	6.56	632	
Advanced Materials Technology HALO C8	L7	C8	5.0		0.92	0.017	-0.118	-0.002	-0.002	0.205	4.6	633	
Advanced Materials Technology HALO Phenyl-Hexyl	L11	Phenyl	5.0		0.799	-0.091	-0.295	-0.004	0.115	0.429	3.29	634	
Merck Supelco Ascentis Express ES-Cyano	L10	CN			0.565	-0.098	-0.415	0.014	0.031	1.04	1.88	635	
Advanced Materials Technology HALO ES-CN	L10	CN	5.0		0.558	-0.102	-0.492	0.012	0.081	0.967	1.61	636	
Agilent InfinityLab Poroshell 120 EC-C18	L1	C18			1.02	0.008	-0.13	-0.004	0.161	0.123	6.92	637	
Agilent InfinityLab Poroshell 120 EC-C8	L7	C8			0.877	0.011	-0.232	0.023	0.127	0.09	4.84	638	
Agilent InfinityLab Poroshell 120 EC-CN	L10	CN			0.421	-0.057	-0.476	0.002	0.045	0.87	0.95	639	
Agilent InfinityLab Poroshell 120 Phenyl-Hexyl	L11	Phenyl			0.752	-0.083	-0.394	0.018	0.136	0.14	3.59	640	
Agilent InfinityLab Poroshell 120 Bonus-RP	L60	EP			0.686	-0.03	-0.573	0.18	-0.67	-0.017	3.98	641	
Agilent InfinityLab Poroshell 120 SB-C18	L1	C18			0.956	-0.041	0.168	0.025	0.21	0.763	5.44	642	
Agilent InfinityLab Poroshell 120 SB-C8	L7	C8			0.726	-0.087	0.068	0.044	0.087	0.807	3.56	643	
Agilent InfinityLab Poroshell 120 C18-Aq	L1/L96	EP			0.581	-0.12	-0.133	0.051	-0.014	0.67	2.15	644	
Merck Supelco Titan C18	L1	C18			1.01	0.004	-0.084	-0.047	-0.052	0.088	10.11	645	
Nacalai Tesque πNap	L11	phenyl			0.665	-0.176	-0.258	0.034	0.188	0.789	3.48	646	
Nacalai Tesque COSMOSIL 5PYE		Other			0.671	-0.271	-0.283	0.092	0.521	1.32	3.81	647	
Advanced Chromatography Technologies Excel SuperC18	L1	C18			0.997	-0.003	-0.201	-0.013	0.03	0.009	9.92	648	
Advanced Chromatography Technologies ACE Excel CN-ES	L10	CN			0.811	-0.005	-0.429	-0.01	-0.052	0.153	3.74	649	
Advanced Chromatography Technologies ACE Excel C18-Amide	L60	EP			0.791	0.023	-0.489	0.199	-0.06	0.176	5.86	650	
Advanced Chromatography Technologies UltraCore SuperPhenylHexyl	L11	phenyl			0.809	-0.074	-0.347	-0.014	-0.014	-0.007	3.7	651	
Advanced Chromatography Technologies UltraCore SuperC18	L1	C18			1.09	0.03	-0.111	-0.05	-0.029	0.028	6.92	652	
Diamond Analytics FLARE C18 Mixed Mode		Other			0.806	-0.073	-0.47	0.841	-1.48	2.41	0.75	653	
Genius Technologies COSMICSIL Agate RP C8	L7	C8			0.846	-0.008	-0.178	0.022	0.034	0.262	7.16	654	
Genius Technologies COSMICSIL APT C18	L1	C18			1.02	0.004	-0.064	-0.007	0.135	0.196	10.43	655	
		C18			1.0	0.007	-0.17	0.003	0.172	0.222	9.38	656	Genius Technologies
Genius Technologies COSMICSIL Abra UPLC C18	L1	C18			0.81	0.031	-0.482	0.214	-0.178	0.139	8.16	657	
Genius Technologies COSMICSIL Agate RP C18	L1	C18			1.02	0.017	-0.007	-0.007	0.185	0.23	10.61	658	
Phenomenex Kinetex Biphenyl	L11	Phenyl		100.0	0.697	-0.173	-0.583	0.034	0.122	0.817	2.63	659	
Phenomenex Aeris PEPTIDE XB-C8	L7	C8			0.788	-0.038	-0.169	0.073	-0.042	0.518	1.23	660	
Phenomenex Aeris WIDEPORE XB-C18	L1	C18			0.934	-0.032	-0.134	0.068	0.073	0.36	1.81	661	
Phenomenex Aeris PEPTIDE XB-C4	L26	C4			0.699	-0.021	-0.31	0.017	0.084	0.195	0.91	662	
Phenomenex Aeris PEPTIDE XB-C18	L1	C18			0.992	-0.021	-0.095	0.016	0.071	0.314	5.65	663	
SIELC Technologies Primesep A		Other			0.57	-0.199	0.057	0.032	2.73	2.6	1.57	664	
SIELC Technologies Primesep B		Other			0.497	-0.004	0.034	0.584	-1.87	-1.36	0.91	665	
SIELC Technologies Primesep C		Other			0.513	-0.146	-0.265	0.124	1.04	1.55	1.85	666	
Waters CORTECS C18	L1	C18			1.08	0.043	-0.108	-0.037	0.063	0.035	6.39	667	
Waters CORTECS C18+	L1	C18			1.04	-0.005	0.175	0.026	-0.033	0.537	6.54	668	
ChromNik Technologies SunShell RP-AQUA	L62	C28			0.898	-0.04	-0.272	0.013	0.127	0.095	4.02	669	
ChromNik Technologies SunShell C18	L1	C18			1.09	0.028	-0.124	-0.056	-0.043	-0.084	7.79	670	
ChromNik Technologies SunShell Phenyl	L11	Phenyl			0.813	-0.076	-0.323	-0.017	-0.061	-0.09	4.161	671	
ChromNik Technologies SunShell C8	L7	C8			0.907	0.007	-0.235	-0.028	-0.065	-0.126	4.7	672	
ChromNik Technologies SunShell PFP	L43	F			0.663	-0.176	0.14	-0.076	1.11	2.14	2.46	673	
ChromaNik Technologies Sunniest C8	L7	C8			0.845	0.005	-0.304	-0.002	0.036	-0.018	5.7	674	
ChromaNik Technologies Sunniest PhE	L11	Phenyl			0.656	-0.085	-0.469	0.008	0.044	-0.022	3.24	675	
ChromaNik Technologies Sunniest RP-AQUA	L62	C28			0.958	-0.024	-0.21	-0.008	0.142	0.098	8.49	676	
ChromaNik Technologies Sunniest C18	L1	C18			1.02	0.01	-0.169	-0.023	0.089	0.803	9.62	677	
ChromaNik Technologies Sunniest PFP	L43	F			0.615	-0.15	-0.049	-0.04	1.1	1.8	2.97	678	
Phenomenex Kinetex EVO C18	L1	C18			1.01	-0.006	-0.17	-0.024	-0.11	-0.01	4.38	679	
Diamond Analytics FLARE C18+		Other			1.14	-0.31	0.73	0.97	-0.51	1.2	0.27	680	
		C8			0.857	-0.014	-0.2	0.018	-0.052	0.17	8.2	681	Wesley Technologies Inc
Wesley Technologies Inc. PrimeSIL C18	L1	C18	5.0		1.04	-0.002	-0.043	-0.013	0.015	0.15	12.4	682	
Wesley Technologies Inc. PrimeSIL C18	L1	C18	3.0		1.02	0.025	-0.06	-0.001	0.014	0.12	9.0	683	
Wesley Technologies Inc. PrimeSIL ODS P	L60	EP			0.752	0.09	-0.67	0.042	-0.24	-0.015	8.7	684	
Wesley Technologies Inc. PrimeSIL ODS 2	L1	C18			1.0	-0.004	-0.057	-0.006	0.109	0.18	10.3	685	
Phenomenex Kinetex F5	L43	F			0.725	-0.064	-0.32	-0.046	0.11	2.66	3.03	686	
United Chemical Technologies Selctra Aqueous C18	L1	EP			0.78	-0.11	0.011	0.011	0.076	1.15	6.79	687	
United Chemical Technologies Selctra C18	L1	C18			1.05	0.032	0.006	-0.017	0.015	0.026	11.8	688	
United Chemical Technologies Selctra PFPP	L43	F			0.674	-0.081	-0.33	-0.033	0.43	1.26	4.63	689	
GL Science InertSustain AQ-C18	L1	C18			0.939	-0.05	-0.23	0.001	-0.003	-0.095	10.7	690	
GL Science InertSustain Phenylhexyl	L11	Phenyl			0.743	-0.043	-0.37	-0.015	-0.109	-0.204	5.92	691	
GL Science InertSustainSwift C18	L1	C18			0.882	-0.013	-0.31	-0.001	0.13	0.074	4.74	692	
Agilent InfinityLab Poroshell 120 HPH-C8	L7	C8			0.887	0.01	-0.25	0.008	-0.019	-0.073	4.18	693	
Agilent InfinityLab Poroshell 120 HPH-C18	L1	C18			1.03	0.005	-0.14	-0.014	0.073	-0.004	6.1	694	
Agilent InfinityLab Poroshell 120 	L43	F			0.63	-0.059	-0.46	0.015	-0.038	0.741	2.88	695	
Merck Supelco AscentisExpress Biphenyl	L11	phenyl			0.702	-0.177	-0.23	0.031	0.208	0.923	2.43	696	
Waters ACQUITY UPLC BEH C18	L1	C18			1.0	0.028	-0.366	0.007	0.142	0.088	6.4	697	
Waters ACQUITY UPLC CSH C18	L1	EP			0.968	0.0	-0.355	0.199	0.065	0.157	6.1	698	
YMC YMC-Triart C8	L7	C8			0.83	-0.007	-0.317	-0.007	-0.023	-0.102	7.2	699	
YMC YMC-Triart C18 ExRS	L1	C18			1.17	0.063	-0.004	-0.096	-0.139	-0.254	18.4	700	
YMC YMC-Triart Phenyl	L11	phenyl			0.723	-0.072	-0.376	-0.008	-0.021	-0.084	5.3	701	
YMC YMC-Triart PFP	L43	F			0.586	-0.182	-0.014	-0.045	0.363	1.36	3.8	702	
Merck Supelco BIOshell A160 Peptide C18	L1	C18		160.0	0.89	-0.059	0.25	0.024	0.177	0.819	3.0	703	
Merck Supelco BIOshell A400 Protein C18	L1	C18		400.0	0.94	-0.052	-0.202	0.063	0.177	0.261	1.1	704	
Merck Supelco BIOshell A400 Protein C4	L26	C4		400.0	0.704	0.005	-0.847	0.013	0.109	0.155	0.61	705	
Merck Supelco BIOshell A160 Peptide CN	L10	CN		160.0	0.481	-0.098	-0.353	0.028	0.076	0.838	0.9	706	
Phenomenex Luna Omega C18	L1	C18			0.976	-0.0029	-0.187	-0.0071	-0.018	0.005	9.6	707	
Phenomenex Luna Omega Polar C18	L1	EP			0.86	-0.07	-0.158	0.02	0.0027	0.558	7.4	708	
Phenomenex Luna Omega PS C18	L1	EP			0.901	-0.017	-0.273	0.011	-0.29	0.013	7.6	709	
Advanced Materials Technology HALO AQ-C18	L1	C18			1.0	-0.036	0.099	-0.048	0.156	0.864	6.7	710	
Advanced Materials Technology HALO Biphenyl	L11	phenyl			0.708	-0.183	-0.279	0.028	0.047	0.99	3.1	711	
Nanologica Svea C18	L1	C18			1.06	0.041	-0.054	-0.028	0.047	-0.031	11.2	712	
Nanologica Svea Phenyl Hexyl	L11	phenyl			0.763	-0.09	-0.304	0.011	0.152	0.417	5.5	713	
Nanologica Svea C4	L26	C4			0.73	-0.002	-0.289	0.017	0.042	0.304	4.6	714	
Nanghavi Chrom. Solutions KANAK C18	L1	C18			1.06	0.041	-0.054	-0.028	0.047	-0.031	11.2	715	
Nanghavi Chrom. Solutions KANAK Phenyl-Hexyl	L11	phenyl			0.763	-0.09	-0.304	0.011	0.152	0.417	5.5	716	
Nanghavi Chrom. Solutions KANAK C4	L26	C4			0.73	-0.002	-0.289	0.017	0.042	0.304	4.6	717	
Waters CORTECS C8	L7	C8			0.882	0.02	-0.21	-0.007	0.028	0.047	4.5	718	
Waters CORTECS T3	L1	C18			0.954	-0.036	-0.16	0.016	0.15	0.19	5.2	719	
Waters CORTECS Phenyl	L11	phenyl			0.764	-0.088	-0.31	0.009	0.042	0.59	3.3	720	
Waters CORTECS UPLC Shield RP18	L1	EP			0.869	-0.023	-0.28	0.1	-0.19	0.096	4.9	721	
Waters XBridge Protein BEH C4	L26	C4			0.546	-0.073	-0.21	0.043	0.007	0.12	0.85	722	
Waters BioResolve RP mAb Polyphenyl	L11	phenyl			0.586	-0.14	-0.49	0.058	0.18	0.25	0.39	723	
GL Science Inertsil ODS-HL	L1	C18			1.07	0.01	-0.037	-0.066	0.016	-0.013	16.0	724	
GL Science InertSustainSwift C8	L7	C8			0.785	-0.014	-0.32	0.0	0.07	0.0	3.7	725	
GL Science InertSustain Cyano	L10	CN			0.445	-0.04	-0.37	-0.015	-0.077	0.83	1.6	726	
Nanologica Svea C8	L7	C8			0.873	0.014	-0.17	0.012	0.029	0.15	7.2	727	
Nanologica Svea PFP	L43	F			0.633	-0.085	-0.26	0.024	0.4	1.28	3.7	728	
Nanologica Svea CN	L10	CN			0.44	-0.046	-0.65	-0.01	0.01	0.82	1.6	729	
Advanced Materials Technology HALO C30	L62	C30			0.938	-0.046	-0.14	0.023	0.17	0.35	4.5	730	
Welch Materials Ultisil LP-C18	L1	C18			0.913	-0.044	0.16	0.026	0.15	0.77	7.4	731	
Welch Materials Ultisil Plus C18	L1	C18			0.979	-0.003	-0.12	0.015	0.16	0.17	6.3	732	
