hplccolumns_number	normalized notation	USP Code	Phase type	H	S*	A	B	C (pH 2.8)	C (pH 7.0)	EB retention factor	pore size	particle size	Name	Manufacturer	comment
274	Thermo Fisher, HyPURITY ADVANCE	L60	EP	0.410	-0.0500	-0.0900	0.240	-1.33	0.780	1.6					
268	Thermo Fisher, HyPURITY C18	L1	C18	0.980	0.0200	-0.0900	0	0.190	0.160	5.6					
269	Thermo Fisher, HyPURITY C4	L26	C4	0.710	0	-0.290	0.0200	0.120	0.250	1.9					
270	Thermo Fisher, HyPURITY C8	L7	C8	0.830	0.0100	-0.200	0.0300	0.150	0.160	3.5					
271	Thermo Fisher, HyPURITY CN	L10	CN	0.450	-0.0400	-0.490	0.0200	-0.0100	0.830	0.7					
96	Thermo Fisher, Polar Advantage	L60	EP	0.850	-0.0600	-0.110	0.0200	-0.270	0.350	6.8					
98	Thermo Fisher, PolarAdvantage II	L60	EP	0.740	0.0100	-0.550	0.210	-0.220	0.670	6.3					
610	Thermo Fisher, Synchronis aQ	L1	EP	0.984	-0.00400	-0.100	-0.0380	0.0660	1.08	10.2					
608	Thermo Fisher, Synchronis C18	L1	C18	1.04	-0.00300	-0.0860	-0.0190	-0.0260	0.0380	13					
609	Thermo Fisher, Synchronis C8	L7	C8	0.840	-0.0240	-0.227	0.0100	-0.0580	0.116	7.99					
611	Thermo Fisher, Syncronis Phenyl	L11	Phenyl	0.750	-0.0820	-0.320	0.00800	-0.0310	0.176	6.36					
626	Thermo, Accucore RP-MS	NA	NA	1.00	0.0240	-0.0150	-0.00600	0.0270	0.0570	6.2					
356	Tosoh Bioscience, TSKgel CN-80Ts	L10	CN	0.370	-0.0200	-0.610	0.0100	-0.360	0.420	0.9					
357	Tosoh Bioscience, TSKgel Octyl-80Ts	L7	C8	0.810	0	-0.250	0.0100	0.0800	0.450	4.4					
358	Tosoh Bioscience, TSKgel ODS-100S	L1	C18	1.03	0.0600	-0.0900	-0.0300	0	-0.0300	8.1					
359	Tosoh Bioscience, TSKgel ODS-100V	L1	C18	0.900	-0.0400	-0.220	0	-0.0600	-0.0200	9					
360	Tosoh Bioscience, TSKgel ODS-100Z	L1	C18	1.03	0.0100	-0.130	-0.0300	-0.0600	-0.160	11.6					
461	Tosoh Bioscience, TSKgel ODS-120A	L1	C18	0.890	-0.0300	0.280	0	0.260	0.960	6.5					
462	Tosoh Bioscience, TSKgel ODS-120T	L1	C18	0.970	0.0300	0.110	-0.0100	0.190	0.220	6.5					
