hplccolumns_number	normalized notation	USP Code	Phase type	H	S*	A	B	C (pH 2.8)	C (pH 7.0)	EB retention factor	pore size	particle size	Name	Manufacturer	comment
652	Advanced Chrom. Technol., UltraCore SuperC18	L1	C18	1.09	0.0300	-0.111	-0.0500	-0.0290	0.0280	6.92					
651	Advanced Chrom. Technol., UltraCore SuperPhenylHexyl	L11	phenyl	0.809	-0.0740	-0.347	-0.0140	-0.0140	-0.00700	3.7					
160	Advanced Chromatography Techn., ACE AQ	L1	EP	0.800	-0.0500	-0.120	0.0300	0	0.160	4.7	100A				
155	Advanced Chromatography Techn., ACE C18	L1	C18	1.00	0.0200	-0.0900	0	0.140	0.0900	7.9	100A				
156	Advanced Chromatography Techn., ACE C18	L1	C18	0.980	0.0200	0.0400	0.0100	0.260	0.230	3	300A				
407	Advanced Chromatography Techn., ACE C18-AR	L1	Phenyl	0.880	-0.0500	-0.200	-0.0100	0.0700	0.150	5.7	100A				
372	Advanced Chromatography Techn., ACE C18-HL	L1	C18	1.04	0.0500	-0.0800	-0.0300	-0.0300	-0.110	10	90A				
535	Advanced Chromatography Techn., ACE C18-PFP	L1	C18	0.899	-0.0210	-0.246	-0.0800	-0.00100	-0.995	5.9	100A				
153	Advanced Chromatography Techn., ACE C4	L26	C4	0.670	-0.0100	-0.170	0.0200	0.0900	0.310	2.5	100A				
154	Advanced Chromatography Techn., ACE C4	L26	C4	0.710	-0.0100	-0.180	0.0300	0.160	0.350	1.3	300A				
152	Advanced Chromatography Techn., ACE C8	L7	C8	0.780	0	-0.110	0.0300	0.140	0.380	1.8	300A				
157	Advanced Chromatography Techn., ACE C8	L7	C8	0.827	0.00500	-0.180	0.0260	0.110	0.160	4.9	100A				
158	Advanced Chromatography Techn., ACE CN	L10	CN	0.400	-0.100	-0.720	0	-0.0800	0.440	1	100A				
159	Advanced Chromatography Techn., ACE CN	L10	CN	0.460	-0.0700	-0.160	0.0300	0.150	0.850	0.4	300A				
161	Advanced Chromatography Techn., ACE Phenyl	L11	Phenyl	0.640	-0.130	-0.290	0.0200	0.130	0.460	2.8	100A				
162	Advanced Chromatography Techn., ACE Phenyl	L11	Phenyl	0.590	-0.100	-0.230	0.0300	0.160	0.540	1.1	300A				
650	Advanced Chromatography Technologies, ACE Excel C18-Amide	L60	EP	0.791	0.0230	-0.489	0.199	-0.0600	0.176	5.86					
649	Advanced Chromatography Technologies, ACE Excel CN-ES	L10	CN	0.811	-0.00500	-0.429	-0.0100	-0.0520	0.153	3.74					
648	Advanced Chromatography Technologies, Excel SuperC18	L1	C18	0.997	-0.00300	-0.201	-0.0130	0.0300	0.00900	9.92					
710	Advanced Materials Techn., HALO AQ-C18	L1	C18	1.00	-0.0360	0.0990	-0.0480	0.156	0.864	6.7					
711	Advanced Materials Techn., HALO Biphenyl	L11	phenyl	0.708	-0.183	-0.279	0.0280	0.0470	0.990	3.1					
328	Advanced Materials Techn., HALO C18	L1	C18	1.10	0.0400	0	-0.0500	0.0500	0.0400	6.1					
599	Advanced Materials Techn., HALO C18	L1	C18	1.15	0.0550	0.0250	-0.0550	0.0730	0.100	7.031		5µm			
730	Advanced Materials Techn., HALO C30	L62	C30	0.938	-0.0460	-0.140	0.0230	0.170	0.350	4.5					
329	Advanced Materials Techn., HALO C8	L7	C8	0.910	0.0200	-0.130	0	-0.0100	0.180	4.3					
633	Advanced Materials Techn., HALO C8	L7	C8	0.920	0.0170	-0.118	-0.00200	-0.00200	0.205	4.6		5µm			
600	Advanced Materials Techn., HALO ES-CN	L10	CN	0.566	-0.110	-0.344	0.0210	0.126	1.15	1.88					
636	Advanced Materials Techn., HALO ES-CN	L10	CN	0.558	-0.102	-0.492	0.0120	0.0810	0.967	1.61		5µm			
533	Advanced Materials Techn., HALO Peptide ES-C18	L1	C18	0.890	-0.0590	0.250	0.0240	0.177	0.819	3					
536	Advanced Materials Techn., HALO PFP	L43	F	0.702	-0.117	-0.0730	-0.0620	1.17	0.972	2.3					
601	Advanced Materials Techn., HALO PFP	L43	F	0.711	-0.122	-0.0700	-0.0520	1.16	1.85	2.725		5µm			
422	Advanced Materials Techn., HALO Phenyl-Hexyl	L11	Phenyl	0.780	-0.0900	-0.230	0	0.100	0.450	3.5					
634	Advanced Materials Techn., HALO Phenyl-Hexyl	L11	Phenyl	0.799	-0.0910	-0.295	-0.00400	0.115	0.429	3.29		5µm			
423	Advanced Materials Techn., HALO RP-Amide	L60	EP	0.850	0.0800	-0.380	0.190	-0.410	0.310	4.6					
695	Agilent, InfinityLab Poroshell 120 	L43	F	0.630	-0.0590	-0.460	0.0150	-0.0380	0.741	2.88					
641	Agilent, InfinityLab Poroshell 120 Bonus-RP	L60	EP	0.686	-0.0300	-0.573	0.180	-0.670	-0.0170	3.98					
644	Agilent, InfinityLab Poroshell 120 C18-Aq	L1/L96	EP	0.581	-0.120	-0.133	0.0510	-0.0140	0.670	2.15					
637	Agilent, InfinityLab Poroshell 120 EC-C18	L1	C18	1.02	0.00800	-0.130	-0.00400	0.161	0.123	6.92					
638	Agilent, InfinityLab Poroshell 120 EC-C8	L7	C8	0.877	0.0110	-0.232	0.0230	0.127	0.0900	4.84					
639	Agilent, InfinityLab Poroshell 120 EC-CN	L10	CN	0.421	-0.0570	-0.476	0.00200	0.0450	0.870	0.95					
694	Agilent, InfinityLab Poroshell 120 HPH-C18	L1	C18	1.03	0.00500	-0.140	-0.0140	0.0730	-0.00400	6.1					
693	Agilent, InfinityLab Poroshell 120 HPH-C8	L7	C8	0.887	0.0100	-0.250	0.00800	-0.0190	-0.0730	4.18					
640	Agilent, InfinityLab Poroshell 120 Phenyl-Hexyl	L11	Phenyl	0.752	-0.0830	-0.394	0.0180	0.136	0.140	3.59					
642	Agilent, InfinityLab Poroshell 120 SB-C18	L1	C18	0.956	-0.0410	0.168	0.0250	0.210	0.763	5.44					
643	Agilent, InfinityLab Poroshell 120 SB-C8	L7	C8	0.726	-0.0870	0.0680	0.0440	0.0870	0.807	3.56					
435	Agilent, Microsorb C8	L7	C8	0.870	0.0600	0.0900	0.190	0.610	0.820	5.4	100A	5µm			
436	Agilent, Microsorb Phenyl	L11	phenyl	0.710	-0.140	-0.190	0.160	0.600	0.780	3.1	100A	5µm			
438	Agilent, Microsorb-MV CN	L10	CN	0.350	-0.240	-0.850	-0.0200	0.140	0.780	1.3	100A				
437	Agilent, Microsrb C4	L26	C4	0.660	-0.0200	-0.310	0.0300	0.200	0.410	1	300A	5µm			
279	Agilent, OmniSpher C18	L1	C18	1.05	0.0500	-0.0300	-0.0200	0.120	0.0500	10.9					
455	Agilent, Polaris Amide-C18	L60	EP	0.840	0.110	-0.330	0.340	-1.65	-0.550	4.2					
280	Agilent, Polaris C18-A	L1	EP	0.920	0	-0.220	0.0600	0.140	0.160	5.2					
202	Agilent, Polaris C18-Ether	L1	EP	0.940	-0.0100	-0.120	0.0200	0.160	0.550	5.5					
281	Agilent, Polaris C8-A	L7	EP	0.600	0	-0.600	0.100	-0.0700	0.200	2.2					
203	Agilent, Polaris C8-Ether	L7	EP	0.700	-0.0200	-0.310	0.0400	0.0900	0.260	1.8					
282	Agilent, Pursuit C18	L1	C18	1.00	0	-0.160	0.0100	0.240	0.220	6.2					
458	Agilent, Pursuit PFP	L43	F	0.650	-0.0800	-0.250	-0.0200	0.0500	0.530	2.2					
490	Agilent, Pursuit XRs C18	L1	C18	1.04	0.0300	-0.120	-0.0300	-0.0100	-0.100	11.7					
491	Agilent, Pursuit XRs C8	L7	C8	0.880	0.0200	-0.220	0	-0.150	-0.0600	8.2					
369	Agilent, ZORBAX Bonus-RP	L60	EP	0.650	0.100	-1.04	0.370	-2.97	-1.10	4.5					
1	Agilent, ZORBAX C18	L1	C18	1.08	0.0500	0.470	0.0600	1.48	1.56	10.7					
2	Agilent, ZORBAX C8	L7	C8	0.970	-0.0400	0.210	0.170	0.970	1.05	8.3					
486	Agilent, ZORBAX Eclipse PAH	L1	C18	1.03	-0.0100	0.680	-0.0500	0.0700	1.40	5.9					
376	Agilent, ZORBAX Eclipse Plus C18	L1	C18	1.03	0	-0.0700	-0.0200	0	0.0200	7.8					
377	Agilent, ZORBAX Eclipse Plus C8	L7	C18	0.880	0.0100	-0.170	0	-0.0400	0.0500	5.2					
3	Agilent, ZORBAX Eclipse XDB-C18	L1	C18	1.07	0.0200	-0.0600	-0.0300	0.0500	0.0800	9.1					
4	Agilent, ZORBAX Eclipse XDB-C8	L7	C8	0.910	0.0200	-0.210	0	0	0.0100	6.6					
19	Agilent, ZORBAX Eclipse XDB-CN	L10	CN	0.450	-0.0600	-0.310	0	0.0700	0.990	1.3					
17	Agilent, ZORBAX Eclipse XDB-Phenyl	L11	Phenyl	0.660	-0.120	-0.240	0.0100	0.0600	0.580	3.2					
5	Agilent, ZORBAX Extend C18	L1	C18	1.09	0.0500	0.0100	-0.0400	0.0300	0.0100	8.4					
6	Agilent, ZORBAX Rx-C18	L1	C18	1.07	0.0300	0.300	-0.0300	0.0900	0.410	7.7					
7	Agilent, ZORBAX Rx-C8	L7	C8	0.790	-0.0700	0.110	0.0100	0.0100	0.940	5					
15	Agilent, ZORBAX SB-Aq	NA	EP	0.590	-0.120	-0.0800	0.0300	-0.130	0.730	2.5					
11	Agilent, ZORBAX SB-C18	L1	C18	0.990	-0.0300	0.260	0	0.130	1.04	7.6	80A				
8	Agilent, ZORBAX SB-C18	L1	C18	0.900	-0.0500	0.0400	0.0400	0.250	0.700	2.2	300A				
12	Agilent, ZORBAX SB-C3	L56	C3	0.600	-0.120	-0.0800	0.0300	-0.0800	0.810	2.8	80A				
9	Agilent, ZORBAX SB-C3	L56	C3	0.520	-0.120	-0.190	0.0400	0.0500	0.350	0.7	300A				
10	Agilent, ZORBAX SB-C8	L7	C8	0.700	-0.0800	0	0.0400	0.140	0.820	1.3	300A				
13	Agilent, ZORBAX SB-C8	L7	C8	0.790	-0.0700	0.130	0.0100	0.0100	1.02	5.1	80A				
18	Agilent, ZORBAX SB-CN	L10	CN	0.500	-0.100	-0.220	0.0400	-0.140	1.04	1.7					
16	Agilent, ZORBAX SB-Phenyl	L11	Phenyl	0.620	-0.160	0.0600	0.0300	0.0300	1.08	2.7					
56	Analytical Sales & Services, Advantage Armor C18	L1	C18	0.960	-0.0100	-0.0700	0	0.0700	0.260	8.6	120A				
57	Analytical Sales & Services, Armor C18	L1	C18	0.960	-0.0100	-0.0700	0	0.120	0.290	8.5					
64	Bischoff, ProntoSIL C1	L13	C1	0.410	-0.0700	-0.0800	0.0200	0.0400	0.650	1.2	120A				
83	Bischoff, ProntoSIL C18 ace-EPS	L1	EP	0.770	0.0400	-0.590	0.220	-0.300	0.0400	8.3	120A				
86	Bischoff, ProntoSIL C18 ace-EPS	L1	EP	0.760	0.0200	-0.560	0.210	0.0200	0.140	4.7	200A				
87	Bischoff, ProntoSIL C18 ace-EPS	L1	EP	0.760	0.0200	-0.570	0.210	-0.0500	0.130	2.9	300A				
84	Bischoff, ProntoSIL C18 AG Plus	L1	EP	0.940	-0.0100	0.210	0.0400	-0.130	0.600	9.1	120A				
66	Bischoff, ProntoSIL C18 AQ	L1	C18	0.970	0	-0.0800	0	0.130	0.220	8.1	120A				
69	Bischoff, ProntoSIL C18 AQ	L1	C18	0.970	-0.0100	-0.0500	0	0.120	0.280	6.3	200A				
65	Bischoff, ProntoSIL C18 H	L1	C18	1.00	0	-0.100	0	0.120	0.150	9.7	120A				
71	Bischoff, ProntoSIL C18 H	L1	C18	0.950	0	-0.120	0.0100	0.160	0.210	4.8	200A				
75	Bischoff, ProntoSIL C18 H	L1	C18	0.950	-0.0100	-0.0900	0.0100	0.230	0.240	3.2	300A	5µm			
79	Bischoff, ProntoSIL C18 H	L1	C18	1.15	0.0400	0.0600	-0.0700	0.100	0.260	12.2	60A				
62	Bischoff, ProntoSIL C18 SH	L1	C18	1.03	0.0100	-0.100	-0.0200	0.110	0.400	8.7	120A				
67	Bischoff, ProntoSIL C30	L62	C30	0.910	-0.130	0.570	0	0.500	1.78	6.9	120A				
72	Bischoff, ProntoSIL C30	L62	C30	0.900	-0.0900	0.340	0	0.300	1.17	4.4	200A				
76	Bischoff, ProntoSIL C30	L62	C30	0.890	-0.100	0.320	0.0300	0.400	1.54	3	300A				
68	Bischoff, ProntoSIL C30 EC	L62	C30	0.920	-0.0400	-0.0100	0.0100	0.300	0.450	2.8	300A				
73	Bischoff, ProntoSIL C4	L26	C4	0.540	-0.0600	-0.220	0.0300	0.0800	0.510	1.3	200A				
77	Bischoff, ProntoSIL C4	L26	C4	0.470	-0.0900	-0.0700	0.0500	0.110	0.780	0.6	300A				
80	Bischoff, ProntoSIL C4	L26	C4	0.680	-0.0700	0.100	0	-0.0500	1.20	4.1	60A				
85	Bischoff, ProntoSIL C8 ace-EPS	L7	EP	0.530	0	-0.850	0.210	-0.280	0.0900	3.7	120A				
63	Bischoff, ProntoSIL C8 SH	L7	C8	0.730	-0.0600	-0.0800	0.0100	0.0700	0.520	4.9	120A				
70	Bischoff, ProntoSIL C8 SH	L7	C8	0.760	-0.0200	-0.190	0.0200	0.120	0.230	2.7	200A				
74	Bischoff, ProntoSIL C8 SH	L7	C8	0.730	-0.0400	-0.130	0.0200	0.150	0.400	1.8	300A				
78	Bischoff, ProntoSIL C8 SH	L7	C8	0.920	-0.0100	0.160	-0.0100	-0.310	1.00	8.4	60A				
81	Bischoff, ProntoSIL CN	L10	CN	0.370	-0.110	-0.410	-0.0200	0.160	0.660	0.9					
82	Bischoff, ProntoSIL CN EC	L10	CN	0.420	-0.0500	-0.320	0.0100	0.0100	0.760	1.2	120A				
90	Bischoff, ProntoSIL ODS	L1	C18	0.950	-0.0600	0.0300	-0.0200	0.790	1.31	5.2	120A				
88	Bischoff, ProntoSIL Phenyl	L11	Phenyl	0.560	-0.150	-0.200	0.0200	0.170	0.710	2.5	120A				
89	Bischoff, ProntoSIL Phenyl	L11	Phenyl	0.700	-0.190	0	-0.0100	0.410	1.51	4.5	60A				
91	Bischoff, ProntoSIL Spheribond ODS 1	L1	C18	0.700	-0.190	0.360	0.0100	1.45	2.40	3.8	80A				
92	Bischoff, ProntoSIL Spheribond ODS 2	L1	C18	1.01	-0.0200	0.150	-0.0300	0.730	1.00	7.7	80A				
548	Bonna-Agela Technologies, Durashell C18	L1	C18	1.04	0.0410	-0.0660	-0.0380	-0.191	-0.174	10.556					
549	Bonna-Agela Technologies, Innoval C18	L1	C18	1.05	0.0490	-0.0240	-0.0340	-0.0660	0.0270	6.731					
597	Bonna-Agela Technologies, Promosil C18	L1	C18	1.06	0.0360	-0.0680	-0.0120	-0.00200	-0.0900	11.533					
550	Bonna-Agela Technologies, Unisol C18	NA	C18	0.950	-0.0170	-0.108	-0.00900	-0.108	0.0920	10.176					
546	Bonna-Agela Technologies, Venusil ASB C18	L1	C18	0.824	-0.0660	0.166	0.0500	0.0470	0.644	3.883					
547	Bonna-Agela Technologies, Venusil ASB C8	L7	C8	0.677	-0.0780	-0.00100	0.0440	0.119	0.569	2.424					
554	Bonna-Agela Technologies, Venusil HLP	L60	EP	0.547	-0.0150	-0.649	0.254	-0.926	1.64	3.801					
595	Bonna-Agela Technologies, Venusil PFP	L43	F	0.519	-0.158	0.120	0.0110	0.350	1.14	2.763					
551	Bonna-Agela Technologies, Venusil XBP C18(2)	L1	C18	1.01	0.00700	-0.0810	-0.0220	-0.116	0.0720	11.451					
552	Bonna-Agela Technologies, Venusil XBP C18(L)	L1	C18	0.945	0.0250	-0.135	-0.00200	0.152	0.318	5.123					
555	Bonna-Agela Technologies, Venusil XBP CN	L10	CN	0.450	-0.0530	-0.631	-0.0130	-0.0180	0.737	1.94					
598	Bonna-Agela Technologies, Venusil XBP Phenyl	L11	Phenyl	0.626	-0.118	-0.234	0.0200	0.0240	0.776	4.151					
677	ChromaNik Technologies, Sunniest C18	L1	C18	1.02	0.0100	-0.169	-0.0230	0.0890	0.803	9.62					
674	ChromaNik Technologies, Sunniest C8	L7	C8	0.845	0.00500	-0.304	-0.00200	0.0360	-0.0180	5.7					
678	ChromaNik Technologies, Sunniest PFP	L43	F	0.615	-0.150	-0.0490	-0.0400	1.10	1.80	2.97					
675	ChromaNik Technologies, Sunniest PhE	L11	Phenyl	0.656	-0.0850	-0.469	0.00800	0.0440	-0.0220	3.24					
676	ChromaNik Technologies, Sunniest RP-AQUA	L62	C28	0.958	-0.0240	-0.210	-0.00800	0.142	0.0980	8.49					
488	Chromatopak, Peerless Basic C18	L1	C18	0.980	-0.0100	-0.150	-0.0100	-0.160	-0.0900	11.7					
489	Chromatopak, Peerless C18	L1	C18	0.990	-0.0200	0.0300	-0.0100	0	0.450	10.2					
670	ChromNik Technologies, SunShell C18	L1	C18	1.09	0.0280	-0.124	-0.0560	-0.0430	-0.0840	7.79					
672	ChromNik Technologies, SunShell C8	L7	C8	0.907	0.00700	-0.235	-0.0280	-0.0650	-0.126	4.7					
673	ChromNik Technologies, SunShell PFP	L43	F	0.663	-0.176	0.140	-0.0760	1.11	2.14	2.46					
671	ChromNik Technologies, SunShell Phenyl	L11	Phenyl	0.813	-0.0760	-0.323	-0.0170	-0.0610	-0.0900	4.161					
669	ChromNik Technologies, SunShell RP-AQUA	L62	C28	0.898	-0.0400	-0.272	0.0130	0.127	0.0950	4.02					
602	CWN Technologies, Athena  C8	L7	C8	0.831	-0.0210	-0.166	0.00900	0.0260	0.274	6.43					
603	CWN Technologies, Athena C18	L1	C18	0.997	0.00200	-0.0300	-0.0130	0.0940	0.265	9.82					
604	CWN Technologies, Athena C18-WP	L1	C18	0.953	-0.0300	-0.203	-0.00300	-0.0520	0.0660	11.1					
605	CWN Technologies, Athena Phenyl	L11	Phenyl	0.587	-0.114	-0.396	0.0330	0.0670	0.345	2.52					
653	Diamond Analytics, FLARE C18 Mixed Mode	NA	Other	0.806	-0.0730	-0.470	0.841	-1.48	2.41	0.75					
680	Diamond Analytics, FLARE C18+	NA	Other	1.14	-0.310	0.730	0.970	-0.510	1.20	0.27					
493	Dikma Technologies, Bio-Bond C18	L1	C18	0.960	-0.0200	-0.150	0	0.220	0.180	3.1					
494	Dikma Technologies, Bio-Bond C4	L26	C4	0.700	0	-0.310	0.0200	0.140	0.180	1.4					
495	Dikma Technologies, Bio-Bond C8	L7	C8	0.820	0	-0.260	0.0200	0.170	0.150	2					
523	Dikma Technologies, Endeavorsil C18	L1	C18	1.02	0.0400	-0.0900	-0.0200	-0.0700	0	4.05					
496	Dikma Technologies, Inspire C18	L1	C18	1.06	-0.0500	-0.0700	-0.0400	-0.0800	-0.100	11.2					
497	Dikma Technologies, Inspire C8	L7	C8	0.880	-0.0200	-0.210	0	-0.190	-0.0100	8.1					
524	Dikma Technologies, Leapsil C18	L1	C18	1.05	0.0400	-0.0700	-0.0300	-0.0200	-0.0500	10.51					
498	Dikma Technologies, Spursil C18	siehe Bild	C18	0.960	0	-0.180	-0.0400	0.420	0.760	9.1					
499	Dikma Technologies, Spursil C18-EP	siehe Bild	EP	0.830	0.100	-0.500	0.220	-1.12	0.890	8.9					
102	ES Industries, Chromagabond WR-C18	L1	C18	0.970	0.0200	-0.150	0	0.320	0.280	5.4					
103	ES Industries, Chromagabond WR-C8	L7	C8	0.850	0.0200	-0.270	0.0200	0.200	0.140	3.6					
378	ES Industries, Epic C18	L1	C18	0.950	-0.0200	-0.200	0	-0.130	-0.0400	10.7					
380	ES Industries, Epic C4 SD	L26	C4	0.770	0.0100	-0.310	0	-0.200	0.0600	5.9					
379	ES Industries, Epic C8	L7	C8	0.890	0.0200	-0.190	0	-0.100	0.0300	8.6					
381	ES Industries, Epic Phenyl Hexyl	L11	phenyl	0.670	-0.0800	-0.370	0	-0.140	0.300	4.5					
500	Fortis Technologies, Fortis C18	L1	C18	0.960	-0.0200	-0.180	0	-0.160	0.110	11					
501	Fortis Technologies, Fortis C8	L7	C8	0.870	0.0200	-0.220	0	-0.140	-0.0400	8.2					
502	Fortis Technologies, Fortis Cyano	L10	CN	0.380	-0.0500	-0.390	0.0100	0.0100	0.870	1.1					
504	Fortis Technologies, Fortis Diphenyl	L11	phenyl	0.610	-0.150	-0.400	0.0300	0.0800	0.770	4					
503	Fortis Technologies, Fortis H2o	L1	EP	1.03	0.0300	0.140	-0.0200	0	0.100	10.5					
505	Fortis Technologies, UniverSil C18	L1	C18	0.920	-0.0200	-0.120	0.0400	0.230	0.250	5.4					
506	Fortis Technologies, UniverSil HS C18	L1	C18	0.990	-0.0100	-0.110	-0.0100	-0.0600	0.0800	10.6					
657	Genius Technologies, COSMICSIL Abra UPLC C18	L1	C18	0.810	0.0310	-0.482	0.214	-0.178	0.139	8.16					
606	Genius Technologies, COSMICSIL Adze C18	L1	C18	0.997	-0.0190	-0.138	-0.0130	-0.0820	0.0690	12.7					
576	Genius Technologies, COSMICSIL Agate 100 C18	L1	C18	1.02	-0.0260	-0.0700	0.00900	0.0480	0.263	13	100A				
658	Genius Technologies, COSMICSIL Agate RP C18	L1	C18	1.02	0.0170	-0.00700	-0.00700	0.185	0.230	10.61					
654	Genius Technologies, COSMICSIL Agate RP C8	L7	C8	0.846	-0.00800	-0.178	0.0220	0.0340	0.262	7.16					
655	Genius Technologies, COSMICSIL APT C18	L1	C18	1.02	0.00400	-0.0640	-0.00700	0.135	0.196	10.43					
574	Genius Technologies, COSMICSIL AQ C18	L1	C18	0.958	-0.0390	-0.0720	0.0130	0.133	0.295	9.19					
573	Genius Technologies, COSMICSIL Aura C18	L1	C18	0.948	-0.0400	-0.185	0.00900	-0.0470	0.0890	11.7					
588	GL Science, InerSustain C8	L7	C8	0.868	-0.00500	-0.270	-0.0210	-0.0350	-0.122	8.59					
111	GL Science, Inertsil CN-3	L10	CN	0.360	0.0400	-0.800	0.0800	-2.60	-1.29	1.1					
106	GL Science, Inertsil ODS-2	L1	C18	1.00	0.0400	-0.0700	-0.0100	-0.130	0.440	8.2					
107	GL Science, Inertsil ODS-3	L1	C18	0.990	0.0200	-0.140	-0.0200	-0.470	-0.330	10.9					
431	GL Science, Inertsil ODS-4	L1	C18	0.910	-0.0200	-0.220	-0.0300	-0.0200	-0.140	9.1					
724	GL Science, Inertsil ODS-HL	L1	C18	1.07	0.0100	-0.0370	-0.0660	0.0160	-0.0130	16					
108	GL Science, Inertsil ODS-P	L1	C18	0.970	-0.0200	0.610	-0.0300	0.230	1.47	11.2					
432	GL Science, Inertsil ODS-SP	L1	C18	0.850	-0.0200	-0.220	-0.0200	-0.0400	-0.0700	7.8					
104	GL Science, Inertsil Ph-3 (Phenyl)	L11	Phenyl	0.520	-0.170	-0.130	0.0400	0.120	0.730	2.6					
109	GL Science, Inertsil WP300-C18	L1	C18	0.930	-0.0100	-0.110	0	0.200	0.160	3.8					
690	GL Science, InertSustain AQ-C18	L1	C18	0.939	-0.0500	-0.230	0.00100	-0.00300	-0.0950	10.7					
545	GL Science, InertSustain C18	L1	C18	1.01	0.0550	-0.152	-0.0870	-0.0810	-0.195	11.399					
726	GL Science, InertSustain Cyano	L10	CN	0.445	-0.0400	-0.370	-0.0150	-0.0770	0.830	1.6					
589	GL Science, InertSustain Phenyl	L11	Phenyl	0.569	-0.135	-0.375	0.0350	-0.0440	0.320	3.37					
691	GL Science, InertSustain Phenylhexyl	L11	Phenyl	0.743	-0.0430	-0.370	-0.0150	-0.109	-0.204	5.92					
692	GL Science, InertSustainSwift C18	L1	C18	0.882	-0.0130	-0.310	-0.00100	0.130	0.0740	4.74					
725	GL Science, InertSustainSwift C8	L7	C8	0.785	-0.0140	-0.320	0	0.0700	0	3.7					
105	GL Science, Insertsil C8-3	L7	C8	0.830	0	-0.260	-0.0100	-0.330	-0.360	7.1					
507	GL Science, Insertsil C8-4	L7	C8	0.670	-0.0300	-0.380	-0.0100	-0.0900	-0.150	4.5					
112	GL Science, Insertsil ODS-EP	L1	C18	0.800	0.0600	-1.52	0.0500	-0.620	-0.0700	7.2					
110	GL Science, Insertsil WP300 C8	L7	C8	0.790	-0.0100	-0.210	0.0100	0.120	0.0600	2.2					
24	Grace-Alltech, Adsorbosphere C18	L1	C18	0.980	-0.0700	0.0700	-0.0400	1.49	1.68	7.7					
25	Grace-Alltech, Adsorbosphere C18 UHS	L1	C18	1.10	0	0.400	-0.0400	-0.120	-0.120	18.2					
26	Grace-Alltech, Allsphere ADS-1	L1	C18	0.730	-0.160	0.380	0	0.840	1.14	4.7					
27	Grace-Alltech, Allsphere ADS-2	L1	C18	1.00	-0.0400	0.240	-0.0200	0.960	1.28	8					
33	Grace-Alltech, Alltima C18	L1	C18	0.990	-0.0100	0.0300	-0.0100	0.0900	0.390	11.5					
32	Grace-Alltech, Alltima C18 AQ	L1	C18	0.880	-0.0700	0.300	0.0100	0.150	1.15	8.8					
34	Grace-Alltech, Alltima C18 LL	L1	C18	0.780	0.0800	-0.160	0.0400	-0.0500	0.360	5.9					
35	Grace-Alltech, Alltima C18-WP	L1	C18	0.930	-0.0600	0.0200	0	-0.0700	-0.0800	4.9					
36	Grace-Alltech, Alltima C8	L7	C8	0.750	0.0100	-0.270	0	-0.0600	0.280	5.5					
37	Grace-Alltech, Alltima HP C18	L1	C18	0.980	-0.0200	-0.0400	0	0.170	0.190	4.9					
48	Grace-Alltech, Alltima HP C18 Amide	L1	EP	0.490	-0.0200	0.350	0.120	-0.0100	0.920	4.8					
49	Grace-Alltech, Alltima HP C18 EPS	L1	EP	0.650	-0.100	0.400	0.0300	0.450	0.950	1.2					
38	Grace-Alltech, Alltima HP C18 HiLoad	L1	C18	1.08	-0.0600	0.0600	-0.0400	-0.320	-0.240	11.8					
39	Grace-Alltech, Alltima HP C8	L7	C8	0.830	0.0100	-0.110	0.0300	0.120	-0.410	3.1					
384	Grace-Alltech, Alltima HP Cyano	L10	CN	0.460	-0.0100	-0.550	0	-0.180	0.440	0.9					
28	Grace-Alltech, AlphaBond C18	L1	C18	0.840	-0.0900	0.0600	0	0.570	1.76	5.3					
40	Grace-Alltech, Brava C18 BDS	L1	C18	0.930	-0.0300	0.0300	0.0100	0.280	0.760	4.7					
29	Grace-Alltech, Econosil C18	L1	C18	0.960	-0.0600	0.370	-0.0300	1.02	1.33	8.2					
30	Grace-Alltech, Econosphere C18	L1	C18	0.810	-0.120	0.0300	-0.0100	1.04	1.52	5.1					
31	Grace-Alltech, GraceSmart C18	L1	C18	0.830	-0.0300	0.0700	0	0.0700	0.740	4		5µm			
344	Grace-Alltech, GraceSmart C18	L1	C18	0.830	-0.0300	0.0700	0	0.0700	0.740	4		3µm			
41	Grace-Alltech, Platinum C18	L1	C18	0.780	-0.0700	-0.0900	0	0.400	0.690	4.6					
42	Grace-Alltech, Platinum C8	L7	C8	0.580	-0.0500	-0.220	0	0.250	0.390	3					
43	Grace-Alltech, Platinum EPS C18	L1	C18	0.610	-0.170	0.300	0.0200	0.680	1.70	2.6					
50	Grace-Alltech, Platinum EPS C18	L1	EP	0.450	-0.0500	0.370	0.0100	0.240	1.29	3.6	300A				
44	Grace-Alltech, Platinum EPS C8	L7	C8	0.420	-0.150	0.150	0.0200	0.500	1.36	1.1					
51	Grace-Alltech, Platinum EPS C8	L7	EP	0.580	-0.110	-0.130	0.0800	0.480	0.960	0.8	300A				
52	Grace-Alltech, Prevail Amino (NH2)	L8	EP	0.860	-0.0600	0.250	0.0300	0.0500	1.20	9.6					
45	Grace-Alltech, Prevail C18	L1	C18	0.880	-0.0700	0.310	0.0200	0.100	1.20	9.4					
46	Grace-Alltech, Prevail C8	L7	C8	0.610	-0.0800	0.0300	0.0400	0.0800	1.07	3.4					
47	Grace-Alltech, Prevail Select C18	L1	C18	0.820	0.0200	-0.360	0.140	-1.05	0.450	7.5					
