name_new	name_old	usp code	phase type	kPB	αCH2	αT/O	αC/P	αB/P	αB/P	particle size [µm]	pore size [A]	name	hplccolumns_number	Column Name
Advanced Chromatography Technologies ACE UltraCore SuperPhenylHexyl			Phenyl	2.5	1.37	1.1	0.67	0.31	0.09	5spp	95	ACE Ultracore Super phenyl hexyl 5um		ACE Ultracore Super phenyl hexyl 5um
Advanced Chromatography Technologies ACE UltraCore SuperC18			C18	6.33	1.49	1.46	0.39	0.32	0.09	2.5	95	ACE UltraCore SuperC18 2.5um		ACE UltraCore SuperC18 2.5um
Advanced Chromatography Technologies ACE UltraCore SuperC18			C18	5.61	1.5	1.45	0.4	0.32	0.1	5	95	ACE UltraCore SuperC18 5um		ACE UltraCore SuperC18 5um
Phase Analytical Technology, LLC ACME Amide/C18			PEG	3.44	1.41	1.77	0.29	0.19	0.07	3	120	ACME Amide C18		ACME Amide C18
Phase Analytical Technology, LLC ACME C18			C18	5.32	1.48	1.3	0.48	0.28	0.13	3	120	ACME C18		ACME C18
Phase Analytical Technology, LLC ACME F5/C18			PFP and C18	5.88	1.46	1.63	0.45	0.35	0.17	3	120	ACME F5/C18		ACME F5/C18
			C18	6.4	1.5	1.41	0.43	0.27	0.12	3	120	ACME IQ C18		ACME IQ C18
			C18	10.09	1.5	1.48	0.41	0.26	0.1	3	100	ACME IQHL C18		ACME IQHL C18
Phase Analytical Technology, LLC ACME PLUS			C18	4.3	1.48	1.4	0.41	0.39	0.12	3	120	ACME Plus		ACME Plus
Waters ACQUITY UPLC BEH C18	Waters, ACQUITY UPLC BEH C18		C18	4	1.47	1.37	0.56	0.21	0.1	1.7	130	Acquity BEH C18 1.7 µm		Acquity BEH C18 1.7 µm
Waters ACQUITY UPLC BEH C8	Waters, ACQUITY UPLC BEH C8		C8	1.16	1.34	0.86	0.59	0.31	0.13	1.7	130	Acquity BEH C8		Acquity BEH C8
Waters ACQUITY UPLC BEH Phenyl	Waters, ACQUITY UPLC BEH Phenyl		Phenyl	1.64	1.3	1	0.85	0.42	0.18	1.7	130	Acquity BEH Phenyl 1.7µm		Acquity BEH Phenyl 1.7µm
Waters ACQUITY UPLC BEH Shield RP18	Waters, ACQUITY UPLC BEH Shield RP18		PEG	2.08	1.41	2.36	0.3	0.27	0.13	1.7	130	Acquity BEH Shield RP18 1.7 µm		Acquity BEH Shield RP18 1.7 µm
Waters ACQUITY UPLC CSH C18	Waters, ACQUITY UPLC CSH C18		C18	3.53	1.44	1.35	0.4	0.38	0.09	1.7	130	Acquity CSH C18 1.7um		Acquity CSH C18 1.7um
Waters ACQUITY UPLC CSH Fluoro-Phenyl			PFP	0.46	1	3.1	1.72	1.24	-0.06	1.7	130	Acquity CSH Fluorophenyl 1.7um		Acquity CSH Fluorophenyl 1.7um
Waters ACQUITY UPLC CSH Phenyl-Hexyl			Phenyl	1.47	1.31	1.13	0.7	0.42	0.07	1.7	130	Acquity CSH Phenyl hexyl 1.7um		Acquity CSH Phenyl hexyl 1.7um
Waters ACQUITY UPLC HSS C18			C18	7.38	1.48	1.47	0.37	0.24	0.11	1.8	100	Acquity HSS C18 1.8 µm		Acquity HSS C18 1.8 µm
Waters ACQUITY UPLC HSS C18 SB			C18	2.57	1.39	1.94	1.86	4.99	0.16	1.8	100	Acquity HSS C18 SB 1.8 µm		Acquity HSS C18 SB 1.8 µm
Waters ACQUITY UPLC HSS T3			C18	6.02	1.5	1.19	0.5	0.34	0.12	1.8	100	Acquity HSS T3 1.8 µm		Acquity HSS T3 1.8 µm
Waters ACQUITY UPLC BEH C18			C18	3.99	1.47	1.38	0.37	0.23	0.09	1.7	130	Acquity UPLC BEH C18 130 1.7 µm		Acquity UPLC BEH C18 130 1.7 µm
			C18	1.97	1.48	1.41	0.38	0.22	0.11	1.7	300	Acquity UPLC BEH C18 300 1.7 µm		Acquity UPLC BEH C18 300 1.7 µm
Phenomenex Aeris PEPTIDE XB-C18			C18	4.2	1.48	1.16	0.49	0.56	0.1	3.6 spp	100	Aeris PEPTIDE 3.6u XB-C18		Aeris PEPTIDE 3.6u XB-C18
Phenomenex Aeris WIDEPORE C4			C4	0.39	1.06	0.85	0.39	0.42	0.16	3.6 spp	200	Aeris Widepore 3.6 µm C4		Aeris Widepore 3.6 µm C4
Phenomenex Aeris WIDEPORE XB-C18			C18	1.15	1.44	1.16	0.52	0.6	0.16	3.6 spp	200	Aeris Widepore 3.6 µm XB-C18		Aeris Widepore 3.6 µm XB-C18
			C18	8.79	1.49	1.55	0.39	0.51	0.17	5	100	Agilent prep LC C18		Agilent prep LC C18
Phase Analytical Technology, LLC ACME AIDA C18			C18	4.84	1.52	1.35	0.42	0.3	0.09	5	120	AIDA C18		AIDA C18
Hichrom Alltima HP C18			C18	2.47	1.43	2.79	0.26	0.35	0.04	5	190	Alltima HP C18		Alltima HP C18
Hichrom Alltima HP C18-Amide			PEG	2.48	1.43	2.74	0.27	0.35	0.03	5	190	Alltima HP C18 Amide		Alltima HP C18 Amide
Hichrom Alltima HP C18-AQ			Aqua	4.23	1.42	1.97	1.1	3.1	0.1	5	190	Alltima HP C18 AQ		Alltima HP C18 AQ
Hichrom Alltima HP C18-EPS			C18	0.61	1.34	1.95	2.25	4.35	0.2	5	190	Alltima HP C18 EPS		Alltima HP C18 EPS
Hichrom Alltima HP C18-HL			C18	7.84	1.51	1.57	0.39	0.4	0.1	5	190	Alltima HP C18 HL		Alltima HP C18 HL
			Biphenyl	3.73	1.33	1.55	2.21	0.81	0.05	5	60	Allure biphenyl		Allure biphenyl
			C18	10.46	1.58	1.58	0.39	0.65	0.09	5	60	Allure C18		Allure C18
Restek Allure PFP Propyl			PFP	3.04	1.28	2.69	0.68	1.13	0.34	5	60	Allure PFP propyl		Allure PFP propyl
			Phenyl	1.75	1.27	0.96	0.94	0.52	0.15	5	60	Allure phenyl		Allure phenyl
Thermo Scientific AQUASIL C18			C18	4.14	1.41	1.84	1.18	2.29	0.16	5	100	Aquasil C18		Aquasil C18
Merck Supelco Ascentis RP-Amide			PEG	4.9	1.43	1.65	0.22	0.2	0.04	3	100	Ascentis Amide RP 3um		Ascentis Amide RP 3um
Merck Supelco Ascentis RP-Amide			PEG	4.8	1.43	1.61	0.23	0.2	0.04	5	100	Ascentis Amide RP 5um		Ascentis Amide RP 5um
Merck Supelco Ascentis C18	Merck, Ascentis C18		C18	7.35	1.5	1.59	0.37	0.31	0.08	5	100	Ascentis C18		Ascentis C18
Merck Supelco Ascentis C8	Merck, Ascentis C8		C8	3.61	1.41	0.93	0.31	0.25	0.07	5	100	Ascentis C8		Ascentis C8
