rt	comment	id	pubchem.cid	pubchem.smiles.canonical	pubchem.smiles.isomeric
12.8		draft_25135_00172	160544	CC1(C(O1)COC2=C3C=CC(=O)OC3=CC4=C2C=CO4)C	
12.82		draft_25135_00173	10168	C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)C(=O)O	
12.99		draft_25135_00174	5281703	COC1=C(C=C(C2=C1OC(=CC2=O)C3=CC=CC=C3)O)O	
13.11		draft_25135_00175	5281607	C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O	
13.19		draft_25135_00176	5315263	COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(C(=C(C=C3O2)OC)OC)O)OC)O	
13.2		draft_25135_00177	5280442	COC1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O	
13.24		draft_25135_00178	8328	C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C(=CC=C3)O	
13.25		draft_25135_00179	73571		COC1=CC(=C2C(=O)C[C@H](OC2=C1)C3=CC=C(C=C3)O)O
13.47		draft_25135_00180	442793		CCCCC[C@@H](CC(=O)CCC1=CC(=C(C=C1)O)OC)O
13.53		draft_25135_00181	348160	CC1C(C(C(C(O1)OC2=CC3=C(C(=C2)O)C(=O)C4=C(C3=O)C=C(C=C4O)C)O)O)O	
13.73		draft_25135_00182	6450191		C/C/1=C\CCC2=C[C@H](C3=C(C1)OC=C3C)OC2=O
13.82		draft_25135_00183	10680	C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2	
13.96		draft_25135_00184	3083581	CC1=CC(=O)C2=C(C(=C(C=C2O1)OC)C)O	
13.96		draft_25135_00185	11541511		C[C@H]1[C@@H]([C@H](C[C@@H](O1)O[C@H]2CC[C@]3([C@@H](C2)CC[C@@H]4[C@@H]3CC[C@]5([C@@]4(C[C@@H]([C@@H]5C6=CC(=O)OC6)OC(=O)C)O)C)C)OC)O
14.03		draft_25135_00186	476537		C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(C[C@H]([C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)O)C)C)(C)C)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O
14.62		draft_25135_00187	6780	C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3C2=O	
14.63		draft_25135_00188	638011		CC(=CCC/C(=C/C=O)/C)C
14.65		draft_25135_00189	441207		C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5CC[C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)C)C)C)O)O
14.66		draft_25135_00190	119041		C[C@@]12CC[C@@H]3[C@]4(C=CC(=O)OC([C@@H]4CC(=O)[C@]3([C@@]15[C@H](O5)C(=O)O[C@H]2C6=COC=C6)C)(C)C)C
14.73		draft_25135_00191	6915739		C/C/1=C\CC[C@@]23[C@@H](O2)[C@H](C4=C(C1)OC=C4C)OC3=O
14.77		draft_25135_00192	7018	C1C2=CC=CC=C2C(=O)C3=CC=CC=C31	
14.84		draft_25135_00193	969516		COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O
14.94		draft_25135_00194	11666871		C[C@]1(CCC[C@@]2([C@@H]1CCC(=C)[C@H]2CCC3=CCOC3=O)C)CO
15.42		draft_25135_00195	10212	CC(=CCOC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2)C	
15.52		draft_25135_00196	73401		C[C@@H]1C[C@@H]2[C@H]3[C@](CCC[C@@]3([C@]1(CCC4=COC=C4)O)C)(C(=O)O2)C
15.6		draft_25135_00197	10251	C1C(OC2=CC=CC=C2C1=O)C3=CC=CC=C3	
15.8		draft_25135_00198	3220	CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O	
15.81		draft_25135_00199	73296		C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@H](CO[C@H]2O[C@H]3CC[C@]4([C@H]([C@]3(C)CO)CC[C@@]5([C@@H]4CC=C6[C@]5(CC[C@@]7([C@H]6CC(CC7)(C)C)C(=O)O)C)C)C)O)O)O)O)O
15.91		draft_25135_00200	8512	C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=CC=C3)O	
16.04		draft_25135_00201	5284512		C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5CC[C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)C)C)C)OC(=O)C)O
16.49		draft_25135_00202	5281437		C/C/1=C\CC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C
16.64		draft_25135_00203	124062	CC1=C(C=C2C(=C1O)C(=O)C3=CC=CC=C3C2=O)O	
16.85		draft_25135_00204	44159808	CC(=CCC1=C(C2=C(C=C1O)OC3=C(C2=O)C(=C(C(=C3)O)O)CCC(C)(C)O)O)C	
16.85		draft_25135_00205	68081	CC(=CCOC1=C2C=CC(=O)OC2=CC3=C1C=CO3)C	
