rt	comment	id	pubchem.smiles.canonical	pubchem.cid	pubchem.smiles.isomeric
5.506		draft_86029_00120	CC1=CC(C(O)=O)=C2C=CC=CC2=N1	604442	
5.513999999999999		draft_86029_00121	OC(=O)CCNC1=NNC(=O)NC1=O	1241483	
5.5169999999999995		draft_86029_00122	NC1=NC=C2NC=NC2=N1	9955	
5.526		draft_86029_00123	CC(=O)NC(NC(C)=O)C1=CC=NC=C1	16765336	
5.537000000000001		draft_86029_00124	NC1=CN=CC=C1	10009	
5.5409999999999995		draft_86029_00125	CN1CCCC1	8454	
5.5755		draft_86029_00126	CC(=O)C(C)(C)N	4913006	
5.5889999999999995		draft_86029_00127	NC(=O)CNC1=CC=C(C=C1)C(N)=O	728279	
5.595		draft_86029_00128	NC(CC(O)=O)C1=CC=CC=C1	31722	
5.64		draft_86029_00129	OCC1=CC=CC(CO)=N1	70957	
5.6610000000000005		draft_86029_00130	CC1=CNC=N1	13195	
5.682		draft_86029_00131	CC(=O)NC1=CC(=O)NC(C)=N1	4141648	
5.682		draft_86029_00132	NC1=CC=NC=C1	1727	
5.718		draft_86029_00133	COCCCN	1672	
5.734		draft_86029_00134	CN(C)CC=C	75082	
5.744		draft_86029_00135	NC1=CC2=CNN=C2C=C1	88012	
5.7780000000000005		draft_86029_00136	CNCC1COCCO1	3614772	
5.7780000000000005		draft_86029_00137	OS(=O)(=O)CCNC1CCCCC1	66898	
5.797		draft_86029_00138	CN1CCN(CC1)C1=NC(=O)C=C(N)N1	97545	
5.826		draft_86029_00139	NC1=NC=CC=N1	7978	
5.848		draft_86029_00140	CCCNC	12315	
5.848		draft_86029_00141	NC1=CC(N)=CC=C1	7935	
5.8580000000000005		draft_86029_00142	OC(=O)C1=C2C=CC=CC2=NC2=CC=CC=C12	94721	
5.867999999999999		draft_86029_00143	CC(C)N(C)C	70452	
5.869		draft_86029_00144	CC1=C2N=CNC2=NC=N1	5287547	
5.878		draft_86029_00145	OC(=O)CC(CC(O)=O)C1=CC=CC=N1	16767481	
5.899		draft_86029_00146	CN1C(=O)NC(=O)N(C)C1=O	5071450	
5.91		draft_86029_00147	C1=CN=CC=N1	9261	
5.91		draft_86029_00148	CC1=CC=CN=N1	74208	
5.919		draft_86029_00149	CC(=O)CNC(C)(C)C(C)=O	575017	
5.92		draft_86029_00150	CC1=NC(=O)N(CCO)C(C)=C1	121931	
5.930000000000001		draft_86029_00151	NC1=CC=C(C=C1N)C(O)=O	69263	
5.949		draft_86029_00152	CCNC(=O)CC(=O)NCC	4600245	
5.95		draft_86029_00153	C[N+]1(C)CCCCC1	62781	
5.961		draft_86029_00154	OC(=O)C1=C2CCCCC2=NC2=CC=CC=C12	96891	
5.962000000000001		draft_86029_00155		641544	C[C@H]1CCCN1
5.97		draft_86029_00156	CC1=CC(=O)NC(N)=N1	1532	
5.9719999999999995		draft_86029_00157	NC(=O)CC1=CC=C(O)C=C1	86986	
5.981		draft_86029_00158		638320	CN(C)\C=C\C=O
5.981		draft_86029_00159	CSC1=NCCN1	88369	
5.982		draft_86029_00160	NC1=NC=NC2=NNC=C12	75420	
5.992999999999999		draft_86029_00161	NCCN	3301	
6.011		draft_86029_00162	CCN(CC)CCCO	12159	
6.011		draft_86029_00163	CC(C)(CO)NC1=CNC(=O)NC1=O	1511303	
6.013		draft_86029_00164	CC1=CC=CC=N1	7975	
6.013		draft_86029_00165	CCCC1=CC(=CC=N1)C(O)=O	13500879	
6.034000000000001		draft_86029_00166	N1C=NC2=CC=CN=C12	67504	
6.053		draft_86029_00167	NC1=NC2=C(NC(=O)N2C2CC(O)C(CO)O2)C(=O)N1	3964517	
6.061000000000001		draft_86029_00168	CN1C2=C(C(CC(O)=O)C(=O)N2)C(=O)N(C)C1=O	714360	
6.071		draft_86029_00169	CC(=O)NC(CC1=CC=C(O)C=C1)C(N)=O	595936	
6.081		draft_86029_00170	CN1C=NN=C1C1=CC=NC=C1	21853004	
6.096		draft_86029_00171	CCC1=NC=CN1	66130	
6.107		draft_86029_00172	NC1=CC=CC(N)=N1	8861	
6.112		draft_86029_00173	COCC1=CC(=O)N2N=C(NC(C)=O)NC2=N1	606911	
6.117		draft_86029_00174	NC1=CC=CC=N1	10439	
6.127		draft_86029_00175	CN1CCN(C)CC1	7818	
6.138		draft_86029_00176	CC1=CC2=C(NC(=O)N2)C=C1N	352271	
6.158		draft_86029_00177	CC1=CC=C2N=C(C)C=C(C(O)=O)C2=C1	787722	
6.1615		draft_86029_00178	NC(=O)CCN1CCNCC1	544697	
6.179		draft_86029_00179	NC1=C(N)N=CC=C1	9956	
6.191999999999999		draft_86029_00180	NC(=O)C(O)C1=CC=CC=C1	73558	
6.193		draft_86029_00181	OC(=O)CC(NCC1=CC=CC=C1)C(O)=O	21714	
6.22		draft_86029_00182	NC1CCNCC1	424361	
6.221500000000001		draft_86029_00183	CN(C)C1=CNC(=O)NC1=O	255552	
6.251		draft_86029_00184	CNC(=O)C1=CC=C(N)C=C1	235516	
6.2540000000000004		draft_86029_00185	NCCCCCCO	19960	
6.2620000000000005		draft_86029_00186	CC1=CC=NC=C1	7963	
6.263999999999999		draft_86029_00187	CC(=O)CC(C)(C)N	69361	
6.282		draft_86029_00188	NC1=CC(CO)=CC=C1	80293	
6.2935		draft_86029_00189	NCC1=CC2=C(NC(=O)N2)C=C1	1154237	
6.304		draft_86029_00190	C=CN1C=CN=C1	66171	
6.324		draft_86029_00191	NC(=N)NC(=N)N1CCOCC1	76621	
6.324		draft_86029_00192	CNC1=CN=CC=N1	16767478	
6.324		draft_86029_00193	NC(CC(O)=O)C1=CC=C(C=C1)C(O)=O	5298085	
6.324		draft_86029_00194	CC(=O)NC1=CC(NC(C)=O)=C(C)C(=C1)C(O)=O	723831	
6.337999999999999		draft_86029_00195	CCOC(=O)CN	12176	
6.345		draft_86029_00196	CC(C)CN	6558	
6.354		draft_86029_00197	CC(=O)CNC(C)(C)C	5200368	
6.3585		draft_86029_00198	CN1C(N)=NC2=C(N=CN2)C1=O	70315	
6.364		draft_86029_00199	CCNCC(O)CC	19804546	
6.375		draft_86029_00200	CC(C)(N)C#C	76319	
6.376		draft_86029_00201	C1CNCCN1	4837	
6.376		draft_86029_00202	OCC1=CC=CN=C1C1=C(CO)C=CC=N1	12061683	
6.386		draft_86029_00203	CN1C=NC=C1C#C	3333106	
6.386		draft_86029_00204	C[N+]12CCC(CC1)C1CC(O)CCC21	1504963	
6.395		draft_86029_00205	CC(=O)NC1=CC=C(O)C(NC(C)=O)=C1	11424317	
6.415		draft_86029_00206	CN1CC2=CC=CC=C2CC1C(O)=O	3157491	
6.415		draft_86029_00207	CC(=O)N1C(O)C(O)N(C(C)=O)C1=O	685851	
6.417		draft_86029_00208	OC(=O)C1=CC(C2=CC=CC=C2)=C(C=N1)C(O)=O	607995	
6.425		draft_86029_00209	NCCN1CCNCC1	8795	
6.425		draft_86029_00210	NC1=CC(N)=NC(=S)N1	1201482	
6.426		draft_86029_00211	CN(C)CC(C)(C)CO	87919	
6.4270000000000005		draft_86029_00212	CC1=CC=C(C(O)=O)C(=O)N1	94960	
6.4350000000000005		draft_86029_00213	NCC1=CC=NC=C1	77317	
6.458		draft_86029_00214	CC1=CC=CC(C)=N1	7937	
6.467		draft_86029_00215	CN1C=CC(=O)C(O)=C1C	2972	
6.476		draft_86029_00216		121552919	CCO[C@@H]1COC[C@H]1N
6.479		draft_86029_00217	CC1CNCCN1	66057	
6.479		draft_86029_00218	CN1CCNCC1	53167	
6.481		draft_86029_00219	CC[N+](C)(CC)CC	82326	
6.486000000000001		draft_86029_00220	CCCN1CCCC(C1)C(N)=O	4712472	
6.489999999999999		draft_86029_00221	CN(C)C(=N)N(C)C	66460	
6.489999999999999		draft_86029_00222	NCC1CCNCC1	23527	
6.4959999999999996		draft_86029_00223	NC(=S)NC(N)=S	2758725	
6.4959999999999996		draft_86029_00224		685250	CC(=O)N\N=C1\NC(C)=CC(C)=N1
6.5		draft_86029_00225	CC(=O)NC1=CC=CC=N1	72929	
6.5035		draft_86029_00226	CN1C=NC2=C1C(=O)NC(=O)N2C	5429	
6.510000000000001		draft_86029_00227	CN(C)CCN	66053	
6.510000000000001		draft_86029_00228	CNCCN	8014	
6.510000000000001		draft_86029_00229	CNCCNC	8070	
6.510000000000001		draft_86029_00230	NC1CCCC1	2906	
6.511		draft_86029_00231	CC1=C(N)C=CC=C1N	13205	
6.521		draft_86029_00232	CCN1CCCCC1	13007	
6.531000000000001		draft_86029_00233	CN1C(=O)C(CCC(N)=O)NC1=S	915446	
6.5360000000000005		draft_86029_00234	OC(=O)C1CC2=C(CN1)C=CC=C2	95489	
6.5409999999999995		draft_86029_00235	CNC1=CC=CC=N1	20727	
6.5409999999999995		draft_86029_00236	CNC1=CC=NC=C1	123098	
6.546		draft_86029_00237	CC(=O)NCCC1CCCCN1	4712475	
6.5520000000000005		draft_86029_00238	CN1CCCNCC1	228349	
6.5520000000000005		draft_86029_00239	NC(=S)CCC1=NC=CC=C1	3038186	
6.557		draft_86029_00240	O=C1NC2=CC=CC=C2NC1=O	27491	
6.5595		draft_86029_00241	NC(C(N)=O)C1=CC=CC=C1	12791	
6.562		draft_86029_00242	N1C=C(C=N1)C1=CN=CC=C1	1417907	
6.583		draft_86029_00243	CC(N)CN(C)C	99027	
6.587000000000001		draft_86029_00244	NC1=CC=C2N=CC(=O)NC2=C1	4913252	
6.593		draft_86029_00245	CN1CCC23C4OC5=C(OC6OC(C(O)C(O)C6O)C(O)=O)C=CC(CC1C2C=CC4O)=C35	4318740	
6.598		draft_86029_00246	C1CCNCC1	8082	
6.598		draft_86029_00247		728719	OC(=O)[C@@H]1CCCN1CC1=CC=CC=C1
6.604		draft_86029_00248		2758521	CN(C)[C@H]1CCNC1
6.6129999999999995		draft_86029_00249	CN1CCCCC1	12291	
6.6129999999999995		draft_86029_00250	C1CCCNCC1	8119	
6.614		draft_86029_00251	COC(=O)C1CCCNC1=O	3981101	
6.617		draft_86029_00252	NC(=N)C1=CC=C(N)C=C1	1725	
6.624		draft_86029_00253		220672	C[C@H]1CN[C@H](C)CN1
6.624		draft_86029_00254	CCC1=NC(C)=CN1	70262	
6.624		draft_86029_00255	NC1=C(CO)C=CC=C1	21439	
6.635000000000001		draft_86029_00256	COC(=O)CN1N=CC=CC1=O	46786410	
6.645		draft_86029_00257	CC(C)C1=NC=CN1	123457	
6.648		draft_86029_00258	N1C=CN=C1C1=CC=CN=C1	12395500	
6.649500000000001		draft_86029_00259	CC(=O)NC1=CC=C(O)C=C1	1983	
6.655		draft_86029_00260	NC1=C(N)C=CC=C1	7243	
6.655		draft_86029_00261	CC1=CC=C(C)N=C1	11526	
6.655		draft_86029_00262	NCCCN1C=CN=C1	78736	
6.6610000000000005		draft_86029_00263	CCCN1CCC(=O)CC1	90006	
6.665		draft_86029_00264	O=C(N1CCNC1=O)C1=CC=CO1	1266917	
6.6659999999999995		draft_86029_00265	CCN1CCNCC1	79196	
6.6659999999999995		draft_86029_00266	CC1=C(C)N=CC=C1	11420	
6.668		draft_86029_00267	OC(=O)C1(CCCCN1)C1=CC=CC=C1	16767306	
6.676		draft_86029_00268	CCC1=CC=CC=N1	7523	
6.686000000000001		draft_86029_00269	OC(=O)CCCC1=CC=NC=C1	3159625	
6.697		draft_86029_00270	CC1CNCC(C)N1	66056	
6.7090000000000005		draft_86029_00271	CC(C)CC(N)C(N)=O	12866300	
6.717		draft_86029_00272	CNCCC1=CC=NC=C1	96681	
6.718		draft_86029_00273	CCCCN	8007	
6.7284999999999995		draft_86029_00274	CCN(CC#C)CC#C	571471	
6.729		draft_86029_00275	C1CN=C(N1)C1=CC=CO1	840808	
6.748		draft_86029_00276	COC1=CC=CC=C1N1C(=O)NNC1=O	17233930	
6.761		draft_86029_00277	CC(C)(CN1CCCC1)C=O	3135969	
6.769		draft_86029_00278	CCCNC1CCN(CC1)C(C)=O	24208870	
6.769		draft_86029_00279	O=C1CCCN1CCC1=NC=CC=C1	1266787	
6.779		draft_86029_00280	CC1=CC(=O)C(C)(C)NC1	1415571	
6.779		draft_86029_00281	O1C=NN=C1C1=CC=CN=C1	4023165	
6.78		draft_86029_00282	NCCCCCCN	16402	
6.79		draft_86029_00283	CC(=O)NC(C)(C)C#C	1263582	
6.793		draft_86029_00284	O=C1CCNC2CCCCC12	3143020	
6.8		draft_86029_00285	CC1=CC=NC(C)=C1	7936	
6.8		draft_86029_00286	CN1C(=O)N(C)C2=C1C=CC(N)=C2	779710	
6.8		draft_86029_00287	NCCCC1=NC=CC=C1	3159614	
6.809		draft_86029_00288	NCCCCCC(O)=O	564	
6.8100000000000005		draft_86029_00289	C(CN1CCOCC1)N1CCOCC1	72888	
6.8100000000000005		draft_86029_00290		91461	OC[C@@H]1CCCN2CCCCC12
6.811000000000001		draft_86029_00291	CN(C)C1=CC=CC=N1	21885	
6.819999999999999		draft_86029_00292	CC1=C(C(N)=O)C(C(N)=O)=C(C)O1	650496	
6.821		draft_86029_00293	CC1=C(C)C=NC=C1	11417	
6.821		draft_86029_00294	CC(=O)NC1=CC=CC=C1N	11149	
6.83		draft_86029_00295	CN1C(C)=CC(=O)C=C1C	292248	
6.831		draft_86029_00296	NCCC1=CC=CC=N1	75919	
6.831		draft_86029_00297	NC1=C(C=CC=C1)C(=O)N1CCNC(=O)C1	2142908	
6.84		draft_86029_00298	NC1=C2C=CC=CC2=NC=N1	84759	
6.84		draft_86029_00299	N1C=CC=N1	1048	
6.84		draft_86029_00300	O=C(NC1=CC=CN=C1)C1=NNC(=O)C=C1	23935016	
6.842		draft_86029_00301	N1C=NC2=C3N=CNC3=CC=C12	7201439	
6.851		draft_86029_00302	NC(=O)C1CCN(CC1)C(=O)C1=CC=CO1	738861	
